"臓器","分類","項目名","UID","H28対応項目","H28表記","修正提案(20220302)","査読コメント(20220302)","削除項目","追加項目","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"循環器系","症候","意識障害","JlAKpfk","D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","体重減少・体重増加,意識障害・失神,浮腫,咳・痰,胸痛,動悸,胸水,腰背部痛","","","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18","","","","","","","","","","","",""
"循環器系","症候","失神","JlAKpfo","D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","体重減少・体重増加,意識障害・失神,浮腫,咳・痰,胸痛,動悸,胸水,腰背部痛","","","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18","","","","","","","","","","","",""
"循環器系","症候","胸水","JlAKpfs","","","","","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","","","","","","","","","",""
"循環器系","検査方法","胸部単純エックス線撮影","JlAKpfw","D-05-02-na-01","胸部単純エックス線撮影写真、心電図の主な所見を説明できる。","X線","","","","E-5に移動","","","","","胸部単純エックス線撮影の単純は削除","","","","",""
"循環器系","検査方法","心電図（安静時・運動負荷心電図・ホルタ―心電図）","JlAKpf0","D-05-02-na-03","運動負荷心電図、ホルタ―心電図を説明できる。","","","","","心電図として一つにまとめた","","","","","ホルタ―心電図はHolter心電図と記載する","","","","",""
"循環器系","検査方法","心臓超音波検査","JlAKpf4","D-05-02-na-02","心臓超音波検査の主な所見を説明できる","","","","","","","","","","心臓超音波検査は心エコー検査と記載する","","","","",""
"循環器系","検査方法","心臓シンチグラフィ－","JlAKpf8","D-05-02-na-04","心臓シンチグラフィ－を説明できる。","","","","","","","","","","心臓シンチグラフィ－は心臓シンチグラフィと記載","","","","",""
"循環器系","検査方法","冠動脈造影、冠動脈CT、MRI","JlAKpgA","D-05-02-na-05","冠動脈造影、冠動脈コンピュータ断層撮影<CT>及び心臓磁気共鳴画像法<MRI>の主な所見を説明できる。","","","","","","","","","","","","","","",""
"循環器系","検査方法","心カテーテル検査（心内圧・心機能・シャント率の測定）","JlAKpgE","D-05-02-na-06","心カテーテル検査（心内圧、心機能、シャント率の測定）と結果の解釈を説明できる。","","","","","","","","","","","","特異的な治療法として　　大動脈弁狭窄症に対するカテーテル治療（TAVI　経カテーテル大動脈弁留置術）や、肥大型心筋症に対する経皮的中隔心筋焼灼術などが、一般的にかなり行われてきておりますが、学生時代から知っておくべき特異的治療法として、追記なしでもよろしいでしょうか？　不要かもしれませんが、経皮的冠動脈形成術やカテーテルアブレーションが記載されているので、確認でした。
","","",""
"循環器系","特異的治療法","虚血性心疾患に対する血行再建術（経皮的冠動脈形成術・ステント留置術・冠動脈バイパス術）","JlAKpgI","D-05-04-02-06","虚血性心疾患の薬物治療、非薬物療法（血行再建術（経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術））、心臓リハビリテーションを説明できる。","","","D-05-04-09-05","","④他疾患（脳血管疾患、心疾患、腎疾患、糖尿病）を合併する場合の血圧管理","","","","","","","","","",""
"循環器系","特異的治療法","不整脈に対する非薬物療法（カテーテルアブレーション・電気的除細動・ペースメーカー植え込み・植え込み型除細動器）","JlAKpgM","D-05-04-03-05","不整脈の薬物療法、非薬物療法（カテーテルアブレーション、電気的除細動、ペースメーカー植え込み、植え込み型除細動器）を概説できる。","","","","","","","","","","","","","","",""
"循環器系","特異的治療法","心臓リハビリテーションなどの疾病管理プログラム","JlAKpgQ","D-05-04-01-04, D-05-04-02-06","心不全診療における多職種連携（チーム医療）による疾病管理プログラムを概説できる。,虚血性心疾患の薬物治療、非薬物療法（血行再建術（経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術））、心臓リハビリテーションを説明できる。","","","D-05-04-09-03","","加えてみました（野村）","","","","","","","","","",""
"循環器系","疾患・病態","心不全：心不全（左心・右心・急性・慢性）","JlAKpgU","D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05","心不全の定義と原因、病態生理（収縮不全、拡張不全）を説明できる。,左心不全と右心不全の徴候、病態、診断と治療を説明できる。,急性心不全と慢性心不全の診断と薬物療法、非薬物療法（心臓リハビリテーションを含む）を説明できる。,{not found: },高齢者における心不全の特徴を説明できる。","","","","","統合、表記方法の整理","","","","","","","","","",""
"循環器系","疾患・病態","虚血性心疾患：狭心症(労作性・冠攣縮性）、急性冠症候群（不安定狭心症・急性心筋梗塞）","JlAKpgY","D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06","安定労作性狭心症の病態、症候、診断、治療を説明できる。,冠攣縮性狭心症の病態、症候、診断、治療を説明できる。,急性冠症候群（不安定狭心症、非ST上昇型心筋梗塞及びST上昇型心筋梗塞）の病態、症候、診断、治療を説明できる。,虚血性心疾患の発症予防、再発予防を説明できる。,陳旧性心筋梗塞の病態、症候、診断、治療を説明できる。,虚血性心疾患の薬物治療、非薬物療法（血行再建術（経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術））、心臓リハビリテーションを説明できる。","","","","","急性冠症候群の（）の中を削除（非ST上昇型心筋梗塞およびST上昇型、Q波心筋梗塞、非Q波心筋梗塞、陳旧性心筋梗塞）","STEMI, NSTEMIはなくてよいか？","","","","","","","","",""
"循環器系","疾患・病態","不整脈：徐脈性不整脈（洞不全症候群・房室ブロック）、上室性頻脈性不整脈（心房細動・心房粗動・発作性上室性頻拍症）、心室性頻脈性不整脈（心室頻拍・多源性心室頻拍（torsades de pointes)）、心室細動、期外収縮（上室性・心室性）、WPW症候群、Brugada症候群","JlAKpgg","D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06","主な徐脈性不整脈（洞不全症候群（sick sinus症候群）、房室ブロック）の原因、症候、心電図の特徴、治療を説明できる。,主な上室性頻脈性不整脈（洞性頻脈、上室性期外収縮、心房細動、心房粗動、発作性上室性頻拍症）の原因、症候、心電図の特徴、治療を説明できる。,主な心室性頻脈性不整脈（心室性期外収縮、心室頻拍、多源性心室頻拍（トルサード・ド・ポワント(torsades de pointes)、心室細動）の原因、症候、心電図の特徴、治療を説明できる。,不整脈の原因となる疾患や病態（電解質異常、QT延長症候群、薬剤、甲状腺機能亢進症、Wolff-Parkinson-White <WPW>症候群、Brugada症候群等）を説明できる。,致死性不整脈の診断、初期対応、治療を説明できる。","","","","","上室性頻脈の（）の中を削除（洞性頻脈、致死性不整脈）","QT延長症候群、甲状腺機能亢進症、PIはなくてよいか？","","","","","","","","",""
"循環器系","疾患・病態","弁膜症：僧帽弁疾患（狭窄・閉鎖不全）、大動脈弁疾患（狭窄・閉鎖不全）、三尖弁閉鎖不全","JlAKpgk","D-05-04-04-01","主な弁膜症（僧帽弁疾患、大動脈弁疾患）の病因、病態生理、症候と診断を説明し、治療を説明できる。","","","","","狭窄・閉鎖不全の表記追加","","","","","","","","","",""
"循環器系","疾患・病態","心筋・心膜疾患：特発性心筋症（肥大型・拡張型・拘束型）、二次性心筋疾患、急性心筋炎、感染性心内膜炎、急性心膜炎、収縮性心膜炎、心タンポナーデ","JlAKpgo","D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06","特発性心筋症（肥大型心筋症、拡張型心筋症、拘束型心筋症）と二次性心筋疾患の定義・概念と病態生理を説明できる。,急性心筋炎の病態、症候、診断、治療症候を説明できる。,感染性心内膜炎の病態、症候、診断、治療を説明できる。,急性心膜炎、収縮性心膜炎の病態、症候、診断、治療を説明できる。,{not found: },心タンポナーデの病態、症候、診断、治療を説明できる。","","","","","","心筋疾患と心膜疾患を分離したほうがよいのでは。","","","","","","","","",""
"循環器系","疾患・病態","先天性心疾患：心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot 四徴症","JlAKpgs","D-05-04-06-01","主な先天性心疾患（心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot四徴症）の病態生理、症候と診断を説明し、治療を概説できる。","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","動脈疾患：動脈硬化症、急性大動脈解離、大動脈瘤（胸部・腹部）、閉塞性動脈硬化症、Buerger病、高安動脈炎(大動脈炎症候群)","JlAKpgw","D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05","動脈硬化の危険因子、病態、非侵襲的検査法を説明できる。,急性大動脈解離の病態、症候、診断、治療を説明できる。,大動脈瘤（破裂）の病態、症候、診断、治療を説明できる。,閉塞性動脈硬化症とBuerger病の病態、症候、診断、治療を説明できる。,高安動脈炎（大動脈炎症候群）を概説できる。","","","","","破裂を削除し、胸部・腹部を表記追加","","","","","","","","","",""
"循環器系","疾患・病態","静脈・リンパ管疾患：深部静脈血栓症、血栓性静脈炎、上大静脈症候群、下肢静脈瘤、リンパ浮腫","JlAKpg0","D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04","深部静脈血栓症(deep vein thrombosis <DVT>)、血栓性静脈炎の病因、症候、合併症、治療を説明できる。,上大静脈症候群の病因と症候を説明できる。,下肢静脈瘤を説明できる。,リンパ浮腫の病因を列挙できる。","","","","","","","","","","","","","","",""
"循環器系","疾患・病態","高血圧症：高血圧症（本態性・二次性）、高血圧緊急症","JlAKpg4","D-05-04-09-01,D-05-04-09-02,D-05-04-09-04","本態性高血圧症の疫学、診断、合併症、予後、治療を説明できる。,二次性高血圧症の病因（内分泌性、腎血管性、薬剤性）、症候、診断、治療を説明できる。,高血圧緊急症の病態と対応を説明できる。","","","D-05-04-09-06","","高齢者の高血圧の特徴と治療の注意点を説明できる。は、老年医学で対応検討","","","","","","","","","",""
"循環器系","疾患・病態","低血圧症：起立性低血圧、神経失調性失神","JlAKpg8","D-05-04-10-02","起立性低血圧、神経調節性失神の診断、予後、治療を説明できる。","","","D-05-04-10-01","","低血圧の原因疾患、病態生理、症候、診断、予後、治療を説明できる。","","","","","神経失調性失神は（反射性失神）と記載","","","","",""
"循環器系","疾患・病態","腫瘍性疾患：　※腫瘍の項目を参照","JlAKphA","D-05-04-11-01","粘液腫の定義と病態、症候、検査所見、画像所見、病理所見、診断、治療法を説明できる。","削除候補","","D-05-04-11-01","","","","","","","","","","","",""
"呼吸器系","構造と機能","気道の構造、肺葉・肺区域と肺門の構造","JlAKphE","D-06-01-na-01","気道の構造、肺葉・肺区域と肺門の構造を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","肺循環と体循環の違い","JlAKphI","D-06-01-na-02","肺循環と体循環の違いを説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","縦隔と胸膜腔の構造","JlAKphM","D-06-01-na-03","縦隔と胸膜腔の構造を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","呼吸筋と呼吸運動の機序","JlAKphQ","D-06-01-na-04","呼吸筋と呼吸運動の機序を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","肺気量分画、換気、死腔（換気力学（胸腔内圧、肺コンプライアンス、抵抗、クロージングボリューム(closing volume)））","JlAKphU","D-06-01-na-05","肺気量分画、換気、死腔（換気力学（胸腔内圧、肺コンプライアンス、抵抗、クロージングボリューム(closing volume)））を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","肺胞におけるガス交換と血流の関係","JlAKphY","D-06-01-na-06","肺胞におけるガス交換と血流の関係を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","肺の換気と血流（換気血流比）が動脈血ガスにおよぼす影響（肺胞気-動脈血酸素分圧較差(alveolar-arterial oxygen difference <A-aDO2>)）","JlAKphc","D-06-01-na-07","肺の換気と血流（換気血流比）が動脈血ガスにおよぼす影響（肺胞気-動脈血酸素分圧較差(alveolar-arterial oxygen difference <A-aDO2>)）を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","呼吸中枢を介する呼吸調節の機序","JlAKphg","D-06-01-na-08","呼吸中枢を介する呼吸調節の機序を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","血液による酸素 と二酸化炭素 の運搬の仕組み","JlAKphk","D-06-01-na-09","血液による酸素 と二酸化炭素 の運搬の仕組みを説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","構造と機能","気道と肺の防御機構（免疫学的・非免疫学的）と代謝機能","JlAKpho","D-06-01-na-10","気道と肺の防御機構（免疫学的・非免疫学的）と代謝機能を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","症候","胸痛","JlAKphs","D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","胸水,胸痛・胸部圧迫感,呼吸困難・息切れ,咳・痰,血痰・喀血","","","D-06-03-02-01,D-06-03-02-03の「息切れのみ」","","そもそもグループの記載ガイドに従う","","","","","","","","","",""
"呼吸器系","症候","呼吸困難","JlAKphw","D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","胸水,胸痛・胸部圧迫感,呼吸困難・息切れ,咳・痰,血痰・喀血","","","D-06-03-02-01,D-06-03-02-03の「息切れのみ」","","そもそもグループの記載ガイドに従う","","","","","","","","","",""
"呼吸器系","症候","咳・痰","JlAKph0","D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","胸水,胸痛・胸部圧迫感,呼吸困難・息切れ,咳・痰,血痰・喀血","","","D-06-03-02-01,D-06-03-02-03の「息切れのみ」","","そもそもグループの記載ガイドに従う","","","","","","","","","",""
"呼吸器系","症候","血痰・喀血","JlAKph4","D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","胸水,胸痛・胸部圧迫感,呼吸困難・息切れ,咳・痰,血痰・喀血","","","D-06-03-02-01,D-06-03-02-03の「息切れのみ」","","そもそもグループの記載ガイドに従う","","","","","","","","","",""
"呼吸器系","症候","喘鳴","JlAKph8","D-06-03-01-01,D-06-04-01-01,D-06-04-01-02","喘鳴の発生機序と原因疾患を説明できる。,呼吸不全の定義、分類、病態生理と主な病因を説明できる。,低酸素血症と高二酸化炭素血症の病因、分類と診断を説明し、治療を概説できる。","","","","D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）","D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）","","","","","","","","","",""
"呼吸器系","症候","胸部圧迫感","JlAKpiA","D-06-03-01-01,D-06-04-01-01,D-06-04-01-02","喘鳴の発生機序と原因疾患を説明できる。,呼吸不全の定義、分類、病態生理と主な病因を説明できる。,低酸素血症と高二酸化炭素血症の病因、分類と診断を説明し、治療を概説できる。","","","","D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）","D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）","","","","","","","","","",""
"呼吸器系","症候","呼吸数・リズムの異常","JlAKpiE","D-06-03-01-01,D-06-04-01-01,D-06-04-01-02","喘鳴の発生機序と原因疾患を説明できる。,呼吸不全の定義、分類、病態生理と主な病因を説明できる。,低酸素血症と高二酸化炭素血症の病因、分類と診断を説明し、治療を概説できる。","","","","D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）","D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）","","","","","","","","","",""
"呼吸器系","症候","胸水","JlAKpiI","D-06-03-01-01,D-06-04-01-01,D-06-04-01-02","喘鳴の発生機序と原因疾患を説明できる。,呼吸不全の定義、分類、病態生理と主な病因を説明できる。,低酸素血症と高二酸化炭素血症の病因、分類と診断を説明し、治療を概説できる。","","","","D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）","D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）","","","","","","","","","",""
"呼吸器系","検査方法","喀痰検査（喀痰細胞診・喀痰培養）","JlAKpiM","D-06-02-na-03","喀痰検査（喀痰細胞診、喀痰培養）の意義を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","検査方法","胸水検査、胸膜生検","JlAKpiQ","D-06-04-08-04","胸膜生検の適応を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","検査方法","呼吸機能検査（スパイロメトリ・肺拡散能力・flow-volume曲線）、動脈血ガス分析、ポリソムノグラフィ、ピークフローメトリ","JlAKpiU","","","英語カタカナ語問題","","","新設","","","","","","","","","","",""
"呼吸器系","検査方法","画像検査（単純エックス線撮影・CT・MRI）、核医学検査（ポジトロン断層法(positron emission tomography <PET>)","JlAKpiY","D-06-02-na-01","単純エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、及び核医学検査（ポジトロン断層法(positron emission tomography <PET>)検査を含む）等の画像検査の意義を説明できる。","< >の修正","","","","","","","","","","呼吸器疾患でのMRIの利用は稀∴割愛","","","",""
"呼吸器系","検査方法","気管支内視鏡検査","JlAKpic","D-06-02-na-02","気管支内視鏡検査の意義を説明できる。","","","","","","","","","","","","","","",""
"呼吸器系","特異的治療法","呼吸器理学療法・リハビリテーション","JlAKpig","","","","","","新設","医師国家試験ガイドラインの記載に準拠","","","","","","","","","",""
"呼吸器系","特異的治療法","酸素療法","JlAKpik","","","","","","新設","","","","","","","","","","",""
"呼吸器系","特異的治療法","人工換気","JlAKpio","","","","","","新設","","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸不全：低酸素血症と高二酸化炭素血症","JlAKpis","D-06-04-01-01, D-06-04-01-02","呼吸不全の定義、分類、病態生理と主な病因を説明できる。,低酸素血症と高二酸化炭素血症の病因、分類と診断を説明し、治療を概説できる。","","","D-06-04-01-01, D-06-04-01-02","","症候に含めましたが一長一短あり。","","","","","","","","","",""
"呼吸器系","疾患・病態","呼吸器感染症：急性上気道感染症（かぜ症候群）、扁桃炎・急性喉頭蓋炎、気管支炎、細気管支炎、肺炎（定型・非定型）、肺結核症、非結核性（非定型）抗酸菌症、肺真菌症、嚥下性肺疾患、肺化膿症・膿胸、クループ症候群","JlAKpiw","D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07","急性上気道感染症（かぜ症候群）と扁桃炎の病因、診断と治療を説明できる。,気管支炎・細気管支炎・肺炎（定型肺炎、非定型肺炎）の主な病原体を列挙し、症候、診断と治療を説明できる。,肺結核症と肺真菌症の症候、診断、治療と届出手続を説明できる。,非結核性（非定型）抗酸菌症を概説できる。,誤嚥性肺炎の発生機序とその予防法を説明できる。,クループ症候群と急性喉頭蓋炎の病因、診断と治療を説明できる。,肺化膿症と膿胸を概説できる。","","","","D-06-04-02-05の用語変更,,D-06-04-02-03とD-06-04-02-04の一部入れ替え","嚥下性肺疾患（医師国家試験ガイドラインの記載に準拠）,,肺結核症、肺非結核性（非定型）抗酸菌症のペアではいかがでしょうか。,,急性喉頭蓋炎は耳鼻科領域とも重複のままで良い気がします。","正式な用語としては「嚥下性肺炎」でこちらが頻用されていると思います","","","","","","","","",""
"呼吸器系","疾患・病態","閉塞性換気障害・拘束性換気障害：慢性閉塞性肺疾患(chronic obstructive pulmonary disease <COPD>)、気腫性嚢胞（ブレブ・ブラ）、気管支喘息（咳喘息を含む）、間質性肺炎（特発性・膠原病及び血管炎関連性）、びまん性汎細気管支炎、➅放射線肺炎、じん肺症（珪肺・石綿肺）","JlAKpi0","D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07","慢性閉塞性肺疾患(chronic obstructive pulmonary disease <COPD>)の病因を列挙できる。,慢性閉塞性肺疾患<COPD>の病因、診断、治療、呼吸器リハビリテーションを説明できる。,気管支喘息（小児喘息を含む）の病態生理、診断と治療を説明できる。,間質性肺炎（特発性、膠原病及び血管炎関連性）の病態、診断と治療を説明できる。,びまん性汎細気管支炎を概説できる。,放射線肺炎を概説できる。,じん肺症（珪肺(silicosis)、石綿肺(asbestosis)）を概説できる。","< >の修正","","D-06-04-03-01, D-06-04-03-02","D-06-04-03-01に統合,かわりに新D-06-07-03-02気腫性嚢胞（ブレブ・ブラ）追加","D-06-04-03-03の小児喘息は咳喘息のほうがよいのではないでしょうか（年齢に関わらず学ぶのは当然ゆえ）","","","","","","","","","",""
"呼吸器系","疾患・病態","肺循環障害：肺性心、急性呼吸促(窮)迫症候群(acute respiratory distress syndrome <ARDS>)、肺血栓塞栓症、肺高血圧症（原発性・二次性）、肺動静脈瘻","JlAKpi4","D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,","肺性心の病因、診断と治療を説明できる。,急性呼吸促(窮)迫症候群(acute respiratory distress syndrome <ARDS>)の病因、症候と治療を説明できる。,肺血栓塞栓症の病因、診断と治療を説明できる。,肺高血圧症を概説できる。,{not found: }","略語、< >の修正","","","D-06-04-04-05（新設）","D-06-04-04-04には（原発性、二次性と記した方がよいのでは？）","","","","","","","","","","急性呼吸窮迫症候群"
"呼吸器系","疾患・病態","免疫学的機序による肺疾患：過敏性肺炎、サルコイドーシス、好酸球性肺炎、薬剤性肺炎、アレルギー性気管支肺アスペルギルス症","JlAKpi8","D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04,","過敏性肺炎の病因、症候と診断を説明できる。,サルコイドーシスの症候、診断と治療を説明できる。,好酸球性肺炎を概説できる。,薬剤性肺炎を概説できる。,{not found: }","","","","D-06-04-04-05（新設）","","","","","","","","","","",""
"呼吸器系","疾患・病態","異常呼吸：過換気症候群、睡眠時無呼吸症候群、肺胞低換気症候群","JlAKpjA","D-06-04-06-01, D-06-04-06-02, D-06-04-06-03","過換気症候群を概説できる。,睡眠時無呼吸症候群を概説できる。,肺胞低換気症候群を概説できる。","","","","","","","","","","","","","","",""
"呼吸器系","疾患・病態","その他の機序による肺疾患：気管支拡張症、無気肺、新生児呼吸促迫症候群、肺リンパ脈管筋腫症、肺胞タンパク症、➅癌性リンパ管症","JlAKpjE","D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05","気管支拡張症の症候、診断と治療を説明できる。,無気肺の病因と診断を説明できる。,新生児呼吸促迫症候群の症候、病態、診断と治療を説明できる。,肺リンパ脈管筋腫症を概説できる。,肺胞タンパク症を概説できる。","","","","D-06-04-07-06","領域題目名変更希望","","","","","","肺リンパ脈管筋腫症、肺胞タンパク症は稀な疾患∴割愛","","","","➅癌性リンパ管症のタイポ"
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜：胸膜炎、気胸（自然・緊張性・外傷性）、縦隔気腫、血胸、乳び胸、➅縦隔炎、胸郭変形（漏斗胸）、横隔神経麻痺、横隔膜ヘルニア","JlAKpjI","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","胸膜炎の病因、症候、診断と治療を説明できる。,気胸（自然気胸、緊張性気胸、外傷性気胸）の病因、症候、診断と治療を説明できる。,縦隔気腫の病因、症候と診断を説明できる。,胸膜生検の適応を説明できる。,{not found: }","","","D-06-04-08-04","D-06-04-08-04（入れ替え）, D-06-04-08-05（新設）, D-06-04-08-06（新設）, D-06-04-03-07（新設）, D-06-04-03-08（新設）、,D-06-04-03-09（新設）","領域題目名に・横隔膜追加です。,胸膜生検は検査へ移動","","","","","","","","","",""
"呼吸器系","疾患・病態","腫瘍性疾患：　※腫瘍の項目を参照","JlAKpjM","","","削除候補","","","","縦隔腫瘍を忘れないでほしいです。","","","","","","","","","",""
"消化器系","構造と機能","各消化器官の位置、形態と関係する血管","JlAKpjQ","D-07-01-na-01","各消化器官の位置、形態と関係する血管を図示できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","腹膜と臓器の関係","JlAKpjU","D-07-01-na-02","腹膜と臓器の関係を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","食道・胃・小腸・大腸の基本構造と部位による違い","JlAKpjY","D-07-01-na-03","食道・胃・小腸・大腸の基本構造と部位による違いを説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","消化管運動の仕組み","JlAKpjc","D-07-01-na-04","消化管運動の仕組みを説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","消化器官に対する自律神経の作用","JlAKpjg","D-07-01-na-05","消化器官に対する自律神経の作用を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","肝の構造と機能","JlAKpjk","D-07-01-na-06","肝の構造と機能を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","胃液の作用と分泌機序","JlAKpjo","D-07-01-na-07","胃液の作用と分泌機序を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","胆汁の作用と胆嚢収縮の調節機序","JlAKpjs","D-07-01-na-08","胆汁の作用と胆嚢収縮の調節機序を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","膵外分泌系の構造と膵液の作用","JlAKpjw","D-07-01-na-09","膵外分泌系の構造と膵液の作用を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","小腸における消化・吸収の仕組み","JlAKpj0","D-07-01-na-10","小腸における消化・吸収の仕組みを説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","大腸における糞便形成と排便の仕組み","JlAKpj4","D-07-01-na-11","大腸における糞便形成と排便の仕組みを説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","主な消化管ホルモンの作用","JlAKpj8","D-07-01-na-12","主な消化管ホルモンの作用を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","歯、舌、唾液腺の構造と機能","JlAKpkA","D-07-01-na-13","歯、舌、唾液腺の構造と機能を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","咀しゃくと嚥下の機構","JlAKpkE","D-07-01-na-14","咀しゃくと嚥下の機構を説明できる。","","","","","","","","","","","","","","",""
"消化器系","構造と機能","消化管の正常細菌叢（腸内細菌叢）の役割","JlAKpkI","D-07-01-na-15","消化管の正常細菌叢（腸内細菌叢）の役割を説明できる。","","","","","","","","","","","","","","",""
"消化器系","症候","腹痛","JlAKpkM","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","黄疸,腹痛,悪心・嘔吐,食思(欲)不振,便秘・下痢・血便,吐血・下血,腹部膨隆（腹水を含む）・膨満・腫瘤","","","","","","","","","","","","","","",""
"消化器系","症候","悪心・嘔吐","JlAKpkQ","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","黄疸,腹痛,悪心・嘔吐,食思(欲)不振,便秘・下痢・血便,吐血・下血,腹部膨隆（腹水を含む）・膨満・腫瘤","","","","","","","","","","","","","","",""
