"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 24","Unnamed: 25","査読への返答.1","A.1","B.1","C.1","D.1","E.1","F.1","G.1","H.1","Unnamed: 35","Unnamed: 36"
"疫学・医学統計","疫学","エビデンスの限界を踏まえながら、集団に影響する意思決定を支援できる。","JkxoNuw","","エビデンスの限界を踏まえて、集団に影響する意思決定の重要性を説明できる。","エビデンスの限界を踏まえて、集団に影響する意思決定の重要性を説明できる。","","エビデンスの限界を踏まえながら、集団に影響する意思決定を支援できる。","日本語がわかりにくいので修正
支援できるに修正→学生にはレベルが高いか？",2.0,"","エビデンスの限界を踏まえながら、集団に影響する意思決定を支援できる。","新規","不確実性を含む、限られた情報を評価し、人間の生命や健康を守る意思決定につなげていくには何が必要か考えることが","何をしてよいかわからず、禅問答のようでもあり、分野別認証に出てくる意味不明な小項目（将来起こるべき云々）と似ています
達成可能な具体的記述のほうが望ましいです。
情報チームの記載に任せては？","","やや漠然としていて、カリキュラム開発者が具体的にどのような学習機会を設けるべきかに結びつきにくいと思います。「得られる情報の不確実性や制限の中で、生命や健康を守るための意思決定に必要な対応策を挙げることができる」という意味でしょうか？","","重要だが、疫学、統計学で教えられるのか疑問∴割愛または他所へ統合で良いのでは？","","","","","","","不確実性を含む限られた情報を評価し、人間の生命や健康を守る意思決定につなげていくには何が必要か考えることが重要と考え、修正しました","何をしてよいかわからず、禅問答のようでもあり、分野別認証に出てくる意味不明な小項目（将来起こるべき云々）と似ています
達成可能な具体的記述のほうが望ましいです。
情報チームの記載に任せては？","","やや漠然としていて、カリキュラム開発者が具体的にどのような学習機会を設けるべきかに結びつきにくいと思います。「得られる情報の不確実性や制限の中で、生命や健康を守るための意思決定に必要な対応策を挙げることができる」という意味でしょうか？","","重要だが、疫学、統計学で教えられるのか疑問∴割愛または他所へ統合で良いのでは？","","","","",""
"疫学・医学統計","データ解析と統計手法","尺度（間隔、比、順序、名義）について説明できる。","JkxoNu0","","尺度（間隔、比、順序、名義）を説明できる。","尺度（間隔、比、順序、名義）を説明できる。","","尺度（間隔、比、順序、名義）について説明できる。","を→について",2.0,"","尺度（間隔、比、順序、名義）について説明できる。","新規","疫学者から整理していただいた結果であり採用","データ解析と統計手法の第三層は、個別に5つの方法を書くのがよいのでしょうか？別表化も一案です
別にするなら、学生が到達すべきレベルを動詞で明示したいところです","","EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？","","","","","","","","","衛生学公衆衛生学教育協議会との協議の結果として採用しました。","データ解析と統計手法の第三層は、個別に5つの方法を書くのがよいのでしょうか？別表化も一案です
別にするなら、学生が到達すべきレベルを動詞で明示したいところです","","EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？","","","","","","",""
"疫学・医学統計","データ解析と統計手法","データの分布（欠損値を含む）について説明できる。","JkxoNu4","B-01-01-na-01","データの分布（欠損値を含む）を記述できる。","データの分布（欠損値を含む）を記述できる。","データの記述と要約（記述統計を含む）ができる。","データの分布（欠損値を含む）について説明できる。","説明できるに変更（なぜ記述できる、だったのでしょうか？）",2.0,"","データの分布（欠損値を含む）について説明できる。","","疫学者から整理していただいた結果であり採用","同上","","","","","","","","","","","衛生学公衆衛生学教育協議会との協議の結果として採用しました。","同上","","","","","","","","","【宮地】記述できるレベルでなくてよいか？"
"疫学・医学統計","データ解析と統計手法","正規分布の母平均の信頼区間について説明できる。","JkxoNu8","B-01-01-na-03","正規分布の母平均の信頼区間を説明できる。","正規分布の母平均の信頼区間を説明できる。","正規分布の母平均の信頼区間を計算できる。","正規分布の母平均の信頼区間について説明できる。","ママ",2.0,"","正規分布の母平均の信頼区間について説明できる。","","疫学者から整理していただいた結果であり採用","同上","","EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？","","","","","","","","","衛生学公衆衛生学教育協議会との協議の結果として採用しました。","同上","","EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？","","","","","","",""
"疫学・医学統計","データ解析と統計手法","相関分析、平均値と割合の検定等を実施できる。","JkxoNvA","B-01-02-na-01,B-01-02-na-02,B-01-02-na-03,B-01-02-na-04,B-01-02-na-05,B-01-02-na-06","相関分析、平均値と割合の検定等を実施できる。","相関分析、平均値と割合の検定等を実施できる。","２群間の平均値の差を検定できる（群間の対応のあり、なしを含む）。,パラメトリック検定とノンパラメトリック検定の違いを説明できる。,カイ２乗検定法を実施できる。,一元配置分散分析を利用できる。,２変量の散布図を描き、回帰と相関の違いを説明できる。,線形重回帰分析、多重ロジスティック回帰分析と交絡調整を概説できる。","相関分析、平均値と割合の検定等を実施できる。","ママ",1.0,"","相関分析、平均値と割合の検定等を実施できる。","","疫学者から整理していただいた結果であり採用","同上","","","","","","","","","","","衛生学公衆衛生学教育協議会との協議の結果として採用しました。","同上","","","","","","","","",""
"疫学・医学統計","データ解析と統計手法","多変量解析の意義を理解している。","JkxoNvE","B-01-02-na-06","多変量解析の意義を説明できる。","多変量解析の意義を説明できる。","線形重回帰分析、多重ロジスティック回帰分析と交絡調整を概説できる。","多変量解析の意義を理解している。","理解しているに変更",2.0,"","多変量解析の意義を理解している。","","疫学者から整理していただいた結果であり採用","同上","","EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？","","","","","","","","","衛生学公衆衛生学教育協議会との協議の結果として採用しました。","同上","","EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？","","","","","","",""
"法医学","死と法","植物状態、脳死、心臓死及び脳死判定について理解している。","JkxoNvI","B-02-01-na-01,B-02-01-na-01","植物状態、脳死、心臓死及び脳死判定を説明できる。","植物状態、脳死、心臓死及び脳死判定を説明できる。","植物状態、脳死、心臓死及び脳死判定を説明できる。,植物状態、脳死、心臓死及び脳死判定を説明できる。","植物状態、脳死、心臓死及び脳死判定について理解している。","理解しているに変更",2.0,"","植物状態、脳死、心臓死及び脳死判定について理解している。","","","","","","","","","","","","","","","","","","","","","","","",""
"法医学","死と法","異状死・異状死体の取扱いと死体検案について理解している。","JkxoNvM","B-02-01-na-02,B-02-01-na-02","異状死・異状死体の取扱いと死体検案を説明できる。","異状死・異状死体の取扱いと死体検案を説明できる。","異状死・異状死体の取扱いと死体検案を説明できる。,異状死・異状死体の取扱いと死体検案を説明できる。","異状死・異状死体の取扱いと死体検案について理解している。","理解しているに変更",2.0,"","異状死・異状死体の取扱いと死体検案について理解している。","","","","","","","","","","","","","","","","","","","","","","","",""
"法医学","死と法","死亡診断書と死体検案書を作成できる。","JkxoNvQ","B-02-01-na-03,B-02-01-na-03","死亡診断書と死体検案書を作成できる。","死亡診断書と死体検案書を作成できる。","死亡診断書と死体検案書を作成できる。,死亡診断書と死体検案書を作成できる。","死亡診断書と死体検案書を作成できる。","ママ",1.0,"","死亡診断書と死体検案書を作成できる。","","すべての医行為は指導医とともに行う前提であると考えられる。方略などで述べる。","死亡診断書/死体検案書は、厚労省医行為検討部会でも、学生単独では発行できないことになっているので、作成できるレベルは修正が必要です","","指導医とともに作成できる","","","","","","記載方法を説明できる","","","すべての医行為は指導医とともに行う前提であると考えられますので、方略などで記載します。」","死亡診断書/死体検案書は、厚労省医行為検討部会でも、学生単独では発行できないことになっているので、作成できるレベルは修正が必要です","","指導医とともに作成できる","","","","","","",""
"法医学","死と法","個人識別の方法を理解している。","JkxoNvU","B-02-01-na-04,B-02-01-na-04","個人識別の方法を説明できる。","個人識別の方法を説明できる。","個人識別の方法を説明できる。,個人識別の方法を説明できる。","個人識別の方法を理解している。","理解しているに変更",2.0,"","個人識別の方法を理解している。","","","","","","","","","","","","","","","","","","","","","","","",""
"法医学","死と法","病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）について理解している。","JkxoNvY","B-02-01-na-05,B-01-04-na-02","病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。","病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。","病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。,平均寿命、健康寿命を説明できる。","病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）について理解している。","とは何かということを理解している、に変更",2.0,"","病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）について理解している。","","","","","","","","","","","","","","","","","","","","","","","","【宮地】「説明できる」必要のある内容については、「〜とは何か」だけでなく、手続きや家族への説明と同意なども含まれると思うので、代案は「....（承諾解剖）について理解している」"
"社会の構造や変化から捉える医療","社会格差と医療","","JkxoNvc","","","削除：社会的弱者の立場にある患者の代弁者となることができる","","","","","","","新規","","他チーム（総合など）と類似があるかどうか検討をお願いします
代弁者となることができる、は卒業時のレベルとして適切でしょうか","","","","","漠然としていて、できるの評価が困難∴割愛","","","句点","","","総合にも「健康の社会的決定要因とアドボカシーについて説明できる。」があるので削除しました。","他チーム（総合など）と類似があるかどうか検討をお願いします
代弁者となることができる、は卒業時のレベルとして適切でしょうか","","","","","漠然としていて、できるの評価が困難∴割愛","","","",""
"社会の構造や変化から捉える医療","社会格差と医療","社会格差を解消するために社会に対して行動できる","JkxoNvg","","社会格差を解消するために社会に対して行動できる。","社会格差を解消するために社会に対して行動できる","","社会格差を解消するために社会に対して行動できる。","ママ",1.0,"","社会格差を解消するために社会に対して行動できる","新規","30年後を見据えた場合必要と考える。","他チーム（総合など）と類似があるかどうか検討をお願いします
社会に対して行動できる、は卒業時のレベルとして適切でしょうか","","","","","漠然としていて、できるの評価が困難∴割愛","","","句点","","","「30年後」を見据えた場合必要と考えました。","他チーム（総合など）と類似があるかどうか検討をお願いします
社会に対して行動できる、は卒業時のレベルとして適切でしょうか","","","","","漠然としていて、できるの評価が困難∴割愛","","","",""
"社会の構造や変化から捉える医療","健康と医療","健康寿命を延ばすために働きかけを行うことができる。","JkxoNvk","B-01-04-na-02,C-05-08-na-01","健康寿命を延ばすために生活者への積極的な働きかけを行うことができる。","健康寿命を延ばすために生活者への積極的な働きかけを行うことができる","平均寿命、健康寿命を説明できる。,健康行動や行動変容を行う動機付けを概説できる。","健康寿命を延ばすために働きかけを行うことができる。","査読者Aのコメント受けて「生活者への」「積極的な」を削除",2.0,"","健康寿命を延ばすために働きかけを行うことができる。","","","生活者への積極的な働きかけをおこなうことができる・・・方略と評価は？","上記の「健康の概念」と重なる","","","","","","","句点","","","","生活者への積極的な働きかけをおこなうことができる・・・方略と評価は？","上記の「健康の概念」と重なる","","","","","","","",""
"社会の構造や変化から捉える医療","健康と医療","バリアフリー等の障害と社会環境に関連する概念を理解した行動をとることができる。","JkxoNvo","B-01-06-na-01","バリアフリー等の障害と社会環境に関連する概念を理解した行動をとることができる。","バリアフリーなどの障害と社会環境に関連する概念を理解した行動をとることができる","健康（健康の定義）、障害と疾病の概念と社会環境（機能障害、活動制限、参加制約、生活の質<QOL>、ノーマライゼーション、バリアフリー、ユニバーサルデザイン等）を説明できる。","バリアフリー等の障害と社会環境に関連する概念を理解した行動をとることができる。","",2.0,"","バリアフリー等の障害と社会環境に関連する概念を理解した行動をとることができる。","「バリアフリー」の方が馴染みがある用語でしょうか。（鋪野）","一部文言修正。","バリヤ？バリア？
文節の切れがよくないので、バリアフリーなどの障害と読める","","バリアフリーのほうが適切かと思います。https://www8.cao.go.jp/souki/barrier-free/link/bfsyoutyou.html","","","","","","句点","","","","バリヤ？バリア？
文節の切れがよくないので、バリアフリーなどの障害と読める","","バリアフリーのほうが適切かと思います。https://www8.cao.go.jp/souki/barrier-free/link/bfsyoutyou.html","","","","","","",""
"社会の構造や変化から捉える医療","ジェンダーと医療","ジェンダーの形成並びに性的指向及び性自認への配慮方法を理解している","Jli53Ik","","","","","ジェンダーの形成並びに性的指向及び性自認への配慮方法を理解している","下記参照",2.0,"","ジェンダーの形成並びに性的指向及び性自認への配慮方法を理解している","","{not found: Jli53Ik}","","","","","","","","","","","","","","","","","","","","","",""
"社会の構造や変化から捉える医療","ジェンダーと医療","女性やLGBTQに対する差別等のジェンダー不平等をなくすために積極的な行動をとることができる。","JkxoNvs","B-04-01-na-06","女性やLGBTQに対する差別等のジェンダー不平等をなくすために積極的な行動をとることができる。","女性やLGBTQに対する差別などのジェンダー不平等をなくすために積極的な行動をとることができる","文化・ジェンダーと医療の関係を考えることができる。","女性やLGBTQに対する差別等のジェンダー不平等をなくすために積極的な行動をとることができる。","査読者Cの指摘を受けて「ジェンダーの形成並びに性的指向及び性自認への配慮方法を理解している。」の新設（上に記載）を提案します。",2.0,"","女性やLGBTQに対する差別等のジェンダー不平等をなくすために積極的な行動をとることができる。","","30年後を見据えた場合必要と考える。一部文言修正。","積極的な行動をとる、は学生レベルの到達目標ではありません
LGBTQでしょうか？ 性的マイノリティとどちらの表現がいい？","","H28年度版 C-05-06-05 「ジェンダーの形成並びに性的指向及び性自認への配慮方法を説明できる。」はR4年度版のどこからも消えています。ジェンダー不平等をなくすためにはこれらの知識は必要だと思うので、あえて消したのでなければ別立てにして残してもよいのでは。","","","","","","句点","","","「30年後」を見据えた場合必要と考えました。","積極的な行動をとる、は学生レベルの到達目標ではありません
LGBTQでしょうか？ 性的マイノリティとどちらの表現がいい？","","H28年度版 C-05-06-05 「ジェンダーの形成並びに性的指向及び性自認への配慮方法を説明できる。」はR4年度版のどこからも消えています。ジェンダー不平等をなくすためにはこれらの知識は必要だと思うので、あえて消したのでなければ別立てにして残してもよいのでは。","","","","","","",""
"社会の構造や変化から捉える医療","気候変動と医療","気候変動と医療との関係性を理解し、患者が抱える健康に関する課題と気候変動との関係を想像できる。","JkxoNvw","","気候変動と医療との関係性を理解できる。","気候変動と医療との関係性を理解できる","","気候変動と医療との関係性を理解し、患者が抱える健康に関する課題と気候変動との関係を想像できる。","査読者A, E, Fのコメントを受けて55と旧56を統合",2.0,"","気候変動と医療との関係性を理解し、患者が抱える健康に関する課題と気候変動との関係を想像できる。","新規","30年後を見据えた場合必要と考える。","気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います","","","","","","","","句点","","","「30年後」を見据えた場合必要と考えました。","気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います","","","","","","","","",""
"社会の構造や変化から捉える医療","気候変動と医療","自然災害（新興感染症を含む）が起きた際に必要とされる医師の役割を理解している。","JkxoNv0","","患者が抱える健康に関する課題と気候変動との関係を想像できる。","患者が抱える健康に関する課題と気候変動との関係を想像できる","","自然災害（新興感染症を含む）が起きた際に必要とされる医師の役割を理解している。","総合から引越し",2.0,"","自然災害（新興感染症を含む）が起きた際に必要とされる医師の役割を理解している。","新規","30年後を見据えた場合必要と考える。","気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います","","アウトカムとしての表現を意識するなら、「〜に関する課題を説明しうる仮説として、気候変動の影響を想起できる」","","55に統合、または割愛で良いのでは？","","","","句点","","","「30年後」を見据えた場合必要と考えました。","気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います","","アウトカムとしての表現を意識するなら、「〜に関する課題を説明しうる仮説として、気候変動の影響を想起できる」","","55に統合、または割愛で良いのでは？","","","","",""
"社会の構造や変化から捉える医療","気候変動と医療","地球環境が抱える諸課題を認識し、その解決のために行動できる","JkxoNv4","","地球環境が抱える諸課題を認識し、その解決のために行動できる。","地球環境が抱える諸課題を認識し、その解決のために行動できる","","地球環境が抱える諸課題を認識し、その解決のために行動できる。","ママ",1.0,"","地球環境が抱える諸課題を認識し、その解決のために行動できる","新規","30年後を見据えた場合必要と考える。","気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います","","医学生・医師としての能力という意味を明確にしたほうが良いように思います。「〜を認識し、医療の中でその解決のために行動できる」","","","５５，５６と５７は、統合できそうです。","","","句点","","","「30年後」を見据えた場合必要と考えました。","気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います","","医学生・医師としての能力という意味を明確にしたほうが良いように思います。「〜を認識し、医療の中でその解決のために行動できる」","","","５５，５６と５７は、統合できそうです。","","","",""
"社会の構造や変化から捉える医療","哲学・倫理と医療","現代思想・哲学の語彙を概説することができる","JkxoNv8","G-04-03-na-06","現代思想・哲学の語彙を概説することができる。","現代思想・哲学の語彙を概説することができる","人類学・社会学・心理学・哲学・教育学等と連携し、行動科学・社会科学的（主に質的）な視点から地域における生活の中での医療を知り体験する学習機会を作る。","現代思想・哲学の語彙を概説することができる。","ママ。教養教育の1項目。",1.0,"","現代思想・哲学の語彙を概説することができる","","教養教育の内容を組み込んだ","この項目で、学修目標となるかどうか疑問
もともとH28年版から無理があったのではないか","","あまりにもひろいので、「医学・医療に関連した現代思想・哲学の語彙を概説できる」。この項目の文中か、どこか他に具体的に何が含まれるかがまとまっていないと、カリキュラム策定に利用しにくい。","","問が漠然としているので削除で良いのでは？","","","","句点","","","教養教育の内容を組み込んでいます。","学生の到達の確認が非常に困難ですが","","あまりにもひろいので、「医学・医療に関連した現代思想・哲学の語彙を概説できる」。この項目の文中か、どこか他に具体的に何が含まれるかがまとまっていないと、カリキュラム策定に利用しにくい。","","問が漠然としているので削除で良いのでは？","","","","","【宮地】そのまま残すのであれば、現代思想・哲学に具体的にどのようなものが含まれるのかをどこかで注釈として記載してほしいです。また、個人的には、現代思想・哲学の語彙を概説できることがどうして必要な能力なのかが伝わりやすい表現にできたらと思います（これは教養教育に関する項目全体への共通コメント）"
"社会の構造や変化から捉える医療","哲学・倫理と医療","診療現場における倫理的問題について、倫理学の考え方に依拠し、分析した上で、自身の考えを述べることができる。
","JkxoNwA","A-01-01-na-02,A-01-01-na-03,A-01-01-na-02","診療現場における倫理的問題について倫理学の考え方に依拠し分析し考えを述べることができる。
","診療現場における倫理的問題について倫理学の考え方に依拠し分析し考えを述べることができる。
","臨床倫理や生と死に関わる倫理的問題を概説できる。,ヒポクラテスの誓い、ジュネーブ宣言、医師の職業倫理指針、医師憲章等医療の倫理に関する規範を概説できる。,臨床倫理や生と死に関わる倫理的問題を概説できる。","診療現場における倫理的問題について、倫理学の考え方に依拠し、分析した上で、自身の考えを述べることができる。
","日本語の修正",2.0,"","診療現場における倫理的問題について、倫理学の考え方に依拠し、分析した上で、自身の考えを述べることができる。
","","","学生の到達の確認が非常に困難ですが","","カリキュラムに反映させるならもう少し具体的なほうがよいですし、倫理的問題について医学生に対応できるレベルを求めるのは現実的ではないと思うので、「〜倫理的問題について、Jonsenの四分割法などの臨床倫理アプローチを用いて分析し、対応を説明できる」","","","何科に進んでも大切な各科特有の倫理課題を確実に触れていただく必要がありますので、　　各科診療現場　　　としてもよいかもしれません。","","","","","","コメントに対しては補足説明、方略での記載を検討します。","","","カリキュラムに反映させるならもう少し具体的なほうがよいですし、倫理的問題について医学生に対応できるレベルを求めるのは現実的ではないと思うので、「〜倫理的問題について、Jonsenの四分割法などの臨床倫理アプローチを用いて分析し、対応を説明できる」","","","何科に進んでも大切な各科特有の倫理課題を確実に触れていただく必要がありますので、　　各科診療現場　　　としてもよいかもしれません。","","","",""
"社会の構造や変化から捉える医療","歴史と医学・医療","医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる","","","医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる。","医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる","","医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる。","ママ。医学概論（教養教育）のイメージです",1.0,"","医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる","","","","","","","","","","","","","","６１、６２を統合","","","","","","","","","",""
"社会の構造や変化から捉える医療","歴史と医学・医療","","JkxoNwE","A-01-01-na-01,A-01-01-na-01","","削除：医学・医療の歴史的変遷を概説できる。","医学・医療の歴史的な流れとその意味を概説できる。,医学・医療の歴史的な流れとその意味を概説できる。","","","","","","","６１、６２を統合","下の項目と統合","","","","","","","","","","","","下の項目と統合","","","","","","","","",""
"社会の構造や変化から捉える医療","歴史と医学・医療","","JkxoNwI","A-01-01-na-01,A-01-01-na-01","","削除：現代の医学的問題を過去の歴史を用いて相対化できる。","医学・医療の歴史的な流れとその意味を概説できる。,医学・医療の歴史的な流れとその意味を概説できる。","","","","","","","","上の項目と統合","","","","","","","","","","","","上の項目と統合","","","","","","","","",""
"社会の構造や変化から捉える医療","医療経済","経済が医療に与える影響について理解している","","","","","","経済が医療に与える影響について理解している","連絡調整委員会から指摘のあった医療と経済の関係性について新設を提案します",2.0,"","経済が医療に与える影響について理解している","","","","","","","","","","","","","","","","","","","","","","","",""
"国内外の視点から捉える医療","国内の医療職の役割や医療体制","医師法が定める医師の職権と義務を理解している。","JkxoNwM","B-01-08-na-07,B-01-08-na-06","医師法が定める医師の職権と義務を説明できる。","医師法が定める医師の職権と義務を説明できる。","医療関連法規に定められた医師の義務を列挙できる。,医師法、医療法等の医療関連法規を概説できる。","医師法が定める医師の職権と義務を理解している。","理解しているに変更",2.0,"","医師法が定める医師の職権と義務を理解している。","","","","","","","","","","","","","","","","","","","","","","","",""
"国内外の視点から捉える医療","国内の医療職の役割や医療体制","医療職を規定する法律・制度を説明できる。","JkxoNwQ","B-01-08-na-06,新規","医療職を規定する法律・制度を概説できる。","医療職を規定する法律・制度を概説できる。","医師法、医療法等の医療関連法規を概説できる。,{not found: 新規}","医療職を規定する法律・制度を説明できる。","説明できる、に変更",2.0,"","医療職を規定する法律・制度を説明できる。","「概説」「説明」どちらが適切か要確認（20220220　中山）","","","","","","","","","","","","","","","","","","","","","","",""
"国内外の視点から捉える医療","国内の医療職の役割や医療体制","医療法が定める医療施設の種類と機能について理解している。","JkxoNwU","B-01-07-na-02,B-01-08-na-06,B-01-08-na-06","医療法が定める医療施設を概説できる。","医療法が定める医療施設を概説できる。","医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。,医師法、医療法等の医療関連法規を概説できる。,医師法、医療法等の医療関連法規を概説できる。","医療法が定める医療施設の種類と機能について理解している。","日本語の修正",2.0,"","医療法が定める医療施設の種類と機能について理解している。","「概説」「説明」どちらが適切か要確認（20220220　中山）","","","","","","","","","","","","","","","","","","","","","","","【宮地】医療計画についてのアウトカムを達成するためには、どのようなものがあるかだけでなく、その機能についての知識も必要では。「〜医療施設の種類と機能について理解している」"
"国内外の視点から捉える医療","国内の医療職の役割や医療体制","医療計画について理解している。","JkxoNwY","B-01-07-na-02,B-01-08-na-06,A-07-01-na-02,A-07-01-na-02,B-01-07-na-02","医療計画を説明できる。","医療計画を説明できる。","医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。,医師法、医療法等の医療関連法規を概説できる。,医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。,医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。,医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。","医療計画について理解している。","医療計画に関する注釈が必要",2.0,"","医療計画について理解している。","","医療計画に変更しました。","","","","","","","「地域医療計画」という用語はなく（ローカルにそのような名称の都道府県はあるかもしれませんが）、全国的には「医療計画」です","","","","","医療計画に変更しました。","","","","","","","「地域医療計画」という用語はなく（ローカルにそのような名称の都道府県はあるかもしれませんが）、全国的には「医療計画」です","","",""
"国内外の視点から捉える医療","国内の医療職の役割や医療体制","地域医療提供体制に関する諸課題の相互関連性を理解している。","Jk31tVk","","地域医療提供体制に関する諸課題の相互関連性を構造的に説明できる。","地域医療提供体制に関する諸課題の相互関連性を構造的に説明できる。","","地域医療提供体制に関する諸課題の相互関連性を理解している。","理解しているに変更",2.0,"","地域医療提供体制に関する諸課題の相互関連性を理解している。","","{not found: Jk31tVk}","","","","","","","","","","","","","","","","","","","","","",""
"国内外の視点から捉える医療","国内の医療職の役割や医療体制","医療提供体制と医師の働き方について自身の考えを述べることができる。","Jk31tVo","","医療提供体制と医師の働き方について考え方を述べることができる。","医療提供体制と医師の働き方について考え方を述べることができる。","","医療提供体制と医師の働き方について自身の考えを述べることができる。","日本語の修正",2.0,"","医療提供体制と医師の働き方について自身の考えを述べることができる。","","{not found: Jk31tVo}","","","","","","","","","","","","「医師の働き方改革」に関して・現行法・制度だけでなく将来的なことを見据えてこの文言にしました。","","","","","","","","","",""
"国内外の視点から捉える医療","グルーバルヘルスの役割や医療体制","国際的に取り組む必要のある医療・健康課題について、歴史・社会的背景を踏まえて、理解している。","JkxoNwc","","国際的に取り組む必要のある医療・健康課題を歴史・社会的背景を踏まえて、説明できる。","国際的に取り組む必要のある医療・健康課題を歴史・社会的背景を踏まえて、説明できる。","","国際的に取り組む必要のある医療・健康課題について、歴史・社会的背景を踏まえて、理解している。","理解しているに変更",2.0,"","国際的に取り組む必要のある医療・健康課題について、歴史・社会的背景を踏まえて、理解している。","新設","67,68を含む文言に変更しました。","新設する意義はなんでしょうか？
下の項目と統合可能かと思います","","アウトカムとしての表現を意識するなら、「〜医療・健康課題について、歴史・社会的背景を踏まえて分析できる」","","","","","","","","","70、71を69に統合しました。","新設する意義はなんでしょうか？
下の項目と統合可能かと思います","","アウトカムとしての表現を意識するなら、「〜医療・健康課題について、歴史・社会的背景を踏まえて分析できる」","","","","","","",""
"国内外の視点から捉える医療","グルーバルヘルスの役割や医療体制","","JkxoNwg","B-01-09-na-01, D-10-03-na-07,B-01-09-na-01,D-10-03-na-07","","削除：グローバルヘルス領域での母子に関わる医療・健康問題を挙げることができる。","世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。,母子保健の意義を医学的に説明できる。,世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。,母子保健の意義を医学的に説明できる。","","","","","","","削除、66に統合","詳細は別表とすることも可能かと思います
その際、どれを削除するのかを専門家以外が考えるべきです","","","","","","","","","","","","詳細は別表とすることも可能かと思います
その際、どれを削除するのかを専門家以外が考えるべきです","","","","","","","","",""
"国内外の視点から捉える医療","グルーバルヘルスの役割や医療体制","","JkxoNwk","B-01-09-na-01,B-01-09-na-01","","削除：国際的に問題となっている感染症・非感染性疾患とその対策を概説できる。","世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。,世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。","","","","","","","削除、66に統合","","","","","","","","","","","","","","","","","","","","","",""
