"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","全体編集コメント","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","主要な臨床・画像検査の正しい検体採取方法と検体保存方法を理解している。","JkxirwM","F-02-03-na-02","臨床検査の正しい検体採取方法と検体保存方法を説明できる。","臨床検査の正しい検体採取方法と検体保存方法を説明できる。","臨床検査の正しい検体採取方法と検体保存方法を説明できる。","主要な臨床・画像検査の正しい検体採取方法と検体保存方法を理解している。","説明できる→理解しているに変更","",2.0,"","主要な臨床・画像検査の正しい検体採取方法と検体保存方法を理解している。","","技能で審議しこのままとしました","","同上","","","他所で行うので削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","主要な臨床・画像検査の安全な実施方法（患者確認と検体確認、検査の合併症、感染症予防、精度管理）を理解している。","JkxirwQ","F-02-03-na-03","臨床検査の安全な実施方法（患者確認と検体確認、検査の合併症、感染症予防、精度管理）を説明できる。","臨床検査の安全な実施方法（患者確認と検体確認、検査の合併症、感染症予防、精度管理）を説明できる。","臨床検査の安全な実施方法（患者確認と検体確認、検査の合併症、感染症予防、精度管理）を説明できる。","主要な臨床・画像検査の安全な実施方法（患者確認と検体確認、検査の合併症、感染症予防、精度管理）を理解している。","説明できる→理解しているに変更","",2.0,"","主要な臨床・画像検査の安全な実施方法（患者確認と検体確認、検査の合併症、感染症予防、精度管理）を理解している。","","技能で審議しこのままとしました","上の項目と統合","同上","","","他所で行うので削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","主要な臨床・画像検査の特性（感度、特異度、偽陽性、偽陰性、検査前確率・検査後確率、尤度比、ROC曲線）と判定基準（基準値・基準範囲、カットオフ値、パニック値）を理解している。","JkxirxE","F-02-03-na-04,F-02-03-na-07,F-03-04-na-01","臨床検査の特性（感度、特異度、偽陽性、偽陰性、検査前確率（事前確率）・検査後確率（事後確率）、尤度比、receiver operating characteristic <ROC>曲線）と判定基準（基準値・基準範囲、カットオフ値、パニック値）を説明できる。,病態を推察する基本的検査と確定診断のための検査の意義・相違点を理解・説明できる。,臨床疫学的指標（感度・特異度、尤度比等）を考慮して、必要十分な検査を挙げ、症例における検査結果の臨床的意義を解釈できる。","臨床検査の特性（感度、特異度、偽陽性、偽陰性、検査前確率（事前確率）・検査後確率（事後確率）、尤度比、ROC曲線）と判定基準（基準値・基準範囲、カットオフ値、パニック値）を説明できる。","臨床検査の特性（感度、特異度、偽陽性、偽陰性、検査前確率（事前確率）・検査後確率（事後確率）、尤度比、receiver operating characteristic <ROC>曲線）と判定基準（基準値・基準範囲、カットオフ値、パニック値）を説明できる。","主要な臨床・画像検査の特性（感度、特異度、偽陽性、偽陰性、検査前確率・検査後確率、尤度比、ROC曲線）と判定基準（基準値・基準範囲、カットオフ値、パニック値）を理解している。","一部削除。説明できる→理解しているに変更","",2.0,"","主要な臨床・画像検査の特性（感度、特異度、偽陽性、偽陰性、検査前確率・検査後確率、尤度比、ROC曲線）と判定基準（基準値・基準範囲、カットオフ値、パニック値）を理解している。","","技能で審議しこのままとしました","","","他の検査が「結果を解釈できる」レベルまで求めており、「〜を説明し、結果を解釈して、診断推論や治療・検査方針の決定に適用できる」レベルまで求めては？","","","実践レベルまで必要そうです。","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","主要な臨床・画像検査の生理的変動、測定誤差、精度管理、ヒューマンエラーについて理解している。","JkxirxI","F-02-03-na-05","臨床検査の生理的変動、測定誤差、精度管理、ヒューマンエラーを説明できる。","臨床検査の生理的変動、測定誤差、精度管理、ヒューマンエラーを説明できる。","臨床検査の生理的変動、測定誤差、精度管理、ヒューマンエラーを説明できる。","主要な臨床・画像検査の生理的変動、測定誤差、精度管理、ヒューマンエラーについて理解している。","説明できる→理解しているに変更","",2.0,"","主要な臨床・画像検査の生理的変動、測定誤差、精度管理、ヒューマンエラーについて理解している。","","技能で審議しこのままとしました","","","","","","実践レベルまで必要そうです。","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","患者に応じた検査値特性を理解し、結果を解釈できる。","JkxirxM","F-02-03-na-06","小児、高齢者、妊産婦の検査値特性を説明し、結果を解釈できる。","患者に応じた検査値特性を説明し、結果を解釈できる。","患者に応じた検査値特性を説明し、結果を解釈できる。","患者に応じた検査値特性を理解し、結果を解釈できる。","説明→理解","",2.0,"","患者に応じた検査値特性を理解し、結果を解釈できる。","","技能で審議しこのままとしました","","","","","漠然としているので削除で良いのでは？","実践レベルまで必要そうです。","","","",""
"患者の情報収集","身体所見","主要な臨床・画像検査[@tbl:主要な臨床・画像検査]の目的と適応を理解し、解釈できる。","","F-02-03-na-08,F-02-03-na-11,F-02-13-na-02,F-02-03-na-14,G-03-02-na-04,F-02-03-na-13,F-02-03-na-15,F-02-03-na-10,F-02-04-na-03,F-02-04-na-04,F-02-04-na-01,F-02-03-na-09,F-02-03-na-12,F-02-07-na-01,F-02-07-na-02,F-02-07-na-05,F-02-05-na-01,F-02-05-na-02,F-02-06-na-01,F-02-06-na-02","血算、凝固・線溶検査、尿・糞便検査、生化学検査の目的と適応を説明し、結果を解釈できる。,免疫血清学検査、輸血検査の目的と適応を説明し、結果を解釈できる。,血液型(ABO、RhD)検査、血液交差適合（クロスマッチ）試験、不規則抗体検査を説明できる。,動脈血ガス分析、経皮的酸素飽和度モニターの目的と適応を説明し、結果を解釈できる。,妊娠反応検査を実施できる。,細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）の目的と適応を説明し、結果を解釈できる。,脳脊髄液・胸水・腹水検査の目的と適応を説明し、結果を解釈できる。,病理組織検査、細胞診検査、フローサイトメトリの意義を説明できる。,術中迅速診断の利点、欠点を説明できる。,デジタル画像を用いた病理診断（遠隔診断を含む）の利点、欠点を説明できる。,病理診断、細胞診の適切な検体の取扱い、標本作製及び診断過程が説明できる。,染色体・遺伝子検査の目的と適応を説明し、結果を解釈できる。,生体機能検査（心電図、心臓機能検査、呼吸機能検査、超音波検査、内分泌・代謝機能検査、脳波検査、針筋電図検査、末梢神経伝導検査）の目的と適応を説明し、結果を解釈できる。,超音波機器の種類と原理を説明できる。,超音波検査法の種類を列挙し、概説できる。,超音波の生体作用と安全性を説明できる。,エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>と核医学検査の原理を説明できる。,エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>と核医学検査の読影の基本を説明できる。,内視鏡機器の種類と原理を説明できる。,内視鏡検査法の種類を列挙し、概説できる。","","","主要な臨床・画像検査[@tbl:主要な臨床・画像検査]の目的と適応を理解し、解釈できる。","新設","",2.0,"","主要な臨床・画像検査[@tbl:主要な臨床・画像検査]の目的と適応を理解し、解釈できる。","","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","JkxirwY","F-02-03-na-08","血算、凝固・線溶検査、尿・糞便検査、生化学検査の目的と適応を説明し、結果を解釈できる。","血算、凝固・線溶検査、尿・糞便検査、生化学検査の目的と適応を説明し、結果を解釈できる。","血算、凝固・線溶検査、尿・糞便検査、生化学検査の目的と適応を説明し、結果を解釈できる。","","別表に","","","","","","技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要","61-63が「臨床検査」となっているのに、ここで具体的な血液検査の項目が出てくると、レイヤーの異なりが目立つ","","","他所で行うので削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirwc","F-02-03-na-11","免疫血清学検査、輸血検査の目的と適応を説明し、結果を解釈できる。","免疫血清学検査、輸血検査の目的と適応を説明し、結果を解釈できる。","免疫血清学検査、輸血検査の目的と適応を説明し、結果を解釈できる。","","別表に","","","","","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxir08","F-02-13-na-02","血液型(ABO、RhD)検査、血液交差適合（クロスマッチ）試験、不規則抗体検査を説明できる。","血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査を説明できる。","血液型(ABO、RhD)検査、血液交差適合（クロスマッチ）試験、不規則抗体検査を説明できる。","","別表に","","","","","","技能で審議しこのままとしました","","","実習で行っており、学生の医行為にも入っているので、「実施できる」でよいのでは。","","","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","JkxirxY","F-02-03-na-14","動脈血ガス分析、経皮的酸素飽和度モニターの目的と適応を説明し、結果を解釈できる。","動脈血ガス分析の目的と適応を説明し、結果を解釈できる。","動脈血ガス分析の目的と適応を説明し、結果を解釈できる。","","別表に","","","","","経皮的酸素飽和度モニターについては身体所見に移動を(近藤)","技能で審議しこのままとしました","","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxiryk","G-03-02-na-04","妊娠反応検査を実施できる。","妊娠反応検査が必要な状況とその解釈を説明できる。","妊娠反応検査が必要な状況とその解釈を説明できる。","","別表に","","","","","治療計画から移動(近藤)(2022/2/14)","技能で審議しこのままとしました","・・説明でき、実演できる","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","JkxirxU","F-02-03-na-13","細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）の目的と適応を説明し、結果を解釈できる。","細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）の目的と適応を説明し、結果を解釈できる。","細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）の目的と適応を説明し、結果を解釈できる。","","別表に","","","","","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","","「結果を解釈できる」はしっくりきます","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirxc","F-02-03-na-15","脳脊髄液・胸水・腹水検査の目的と適応を説明し、結果を解釈できる。","脳脊髄液・胸水・腹水検査の目的と適応を説明し、結果を解釈できる。","脳脊髄液・胸水・腹水検査の目的と適応を説明し、結果を解釈できる。","","別表に","","","","","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirwk","F-02-03-na-10,F-02-04-na-03,F-02-04-na-04","病理組織検査、細胞診検査、フローサイトメトリの意義を説明できる。,術中迅速診断の利点、欠点を説明できる。,デジタル画像を用いた病理診断（遠隔診断を含む）の利点、欠点を説明できる。","病理組織検査や細胞診検査（術中迅速診断を含む）の意義を説明できる。","病理組織検査や細胞診検査（術中迅速診断を含む）の意義を説明できる。","","別表に","","","","","フローサイトメトリーは知識への移行を考慮(近藤)(2022/2/14)","フローサイトメトリーは削除し、技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要
フローサイトメトリーをわざわざ書く理由がない（恐らく昭和コアカリの遺物）","「説明できる」でよいか？","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirxg","F-02-04-na-01","病理診断、細胞診の適切な検体の取扱い、標本作製及び診断過程が説明できる。","病理診断、細胞診の適切な検体の取扱い、標本作製及び診断過程が説明できる。","病理診断、細胞診の適切な検体の取扱い、標本作製及び診断過程が説明できる。","","別表に","","","","","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirwg","F-02-03-na-09","染色体・遺伝子検査の目的と適応を説明し、結果を解釈できる。","染色体・遺伝子検査の目的と適応を説明し、結果を解釈できる。","染色体・遺伝子検査の目的と適応を説明し、結果を解釈できる。","","別表に","","","","","","技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","JkxirxQ","F-02-03-na-12","生体機能検査（心電図、心臓機能検査、呼吸機能検査、超音波検査、内分泌・代謝機能検査、脳波検査、針筋電図検査、末梢神経伝導検査）の目的と適応を説明し、結果を解釈できる。","生体機能検査（心電図、心臓機能検査、呼吸機能検査、超音波検査、内分泌・代謝機能検査、脳波検査、針筋電図検査、末梢神経伝導検査）の目的と適応を説明し、結果を解釈できる。","生体機能検査（心電図、心臓機能検査、呼吸機能検査、超音波検査、内分泌・代謝機能検査、脳波検査、針筋電図検査、末梢神経伝導検査）の目的と適応を説明し、結果を解釈できる。","","別表に","","","","","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","上の７５と統合","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","JkxirxA","F-02-07-na-01,F-02-07-na-02,F-02-07-na-05","超音波機器の種類と原理を説明できる。,超音波検査法の種類を列挙し、概説できる。,超音波の生体作用と安全性を説明できる。","超音波検査の適応を説明できる。","超音波検査の適応を説明できる。","","別表に","","","","","超音波検査の適応を説明できるに修正を提案(近藤)","技能で審議しこのままとしました","読影も","「説明できる」でよいか？","79に統合、削除","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","適応を述べるだけなら知識ではないでしょうか","エコーか超音波か、コアカリ全体で統一。",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirxs","F-02-07-na-03","主な疾患、病態のエコー像を概説できる。","","削除:主な疾患、病態のエコー像を説明できる。","","別表に","","","","","基本的臨床手技に統合(近藤)(2022/2/14)","対応しました","「主要な疾患において読影できる（あるいは解釈できる）」まで求めてもいいと思います","","主な疾患・病態とは何か、主な疾患や病態で超音波検査は必須なのか、などいろいろ疑問があります。超音波検査が診断や治療において重要となる疾患・病態において、超音波検査を含めた画像検査の特徴を説明できることを明記すべきでは。","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirws","F-02-04-na-03","術中迅速診断の利点、欠点を説明できる。","","削除:術中迅速診断の利点、欠点を説明できる。","","別表に","","","","","","対応しました","利点欠点は病理医に任せて、学生レベルでは術中迅速診断がどのような場面で使われ、どのように利用されているかを説明できるでよいのでは","「説明できる」でよいか？","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","68と重ならないでしょうか","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirww","F-02-04-na-04","デジタル画像を用いた病理診断（遠隔診断を含む）の利点、欠点を説明できる。","","削除:デジタル画像を用いた病理診断（遠隔診断を含む）の利点、欠点を説明できる。","","別表に","","","","","","対応しました","同上。
利点欠点を学生が説明できる意味はないのでは","「説明できる」でよいか？","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","遠隔診療なら情報でしょうか","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirw0","F-02-04-na-05","病理解剖の医療における位置付けと法的事項、手続等を説明できる。","","削除:病理解剖の医療における位置付けと法的事項、手続等を説明できる。","","別表に","","","","","","対応しました","参加するという方略的な経験目標は・・・","「説明できる」でよいか？","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirw4","F-02-05-na-01","エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>と核医学検査の原理を説明できる。","エックス線撮影、CT、MRIと核医学検査の適応を説明できる。","エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>と核医学検査の適応を説明できる。","","別表に","","","","","原理→適応に修正(近藤)(2022/2/14)","技能で審議しこのままとしました","原理の説明だけでなく、一定レベルまでの読影まで求めて（主要疾患のCT/MRIの読影ができる・・・等）下の84との統合しては","「説明できる」でよいか？","84と統合して削除？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","原理だけなら知識でしょうか","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirxk","F-02-05-na-02","エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>と核医学検査の読影の基本を説明できる。","エックス線撮影、CT、MRIと核医学検査の基本的な読影ができる。","エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>と核医学検査の基本的な読影ができる。","","別表に","","","","","読影が説明できる→基本的な読影ができる(近藤)(2022/2/14)","読影できるとしました","「主要な疾患において読影できる（あるいは解釈できる）」まで求めてもいいと思います","","73と統合して「〜の原理、目的と適応を説明し、読影できる」としては？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","73と統合でどうでしょうか","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirw8","F-02-06-na-01,F-02-06-na-02","内視鏡機器の種類と原理を説明できる。,内視鏡検査法の種類を列挙し、概説できる。","内視鏡検査の適応を説明できる。","内視鏡検査の適応を説明できる","","別表に","","","","","内視鏡検査の適応を説明できるに修正を提案(近藤)","技能で審議しこのままとしました","読影も","「説明できる」でよいか？","他とあわせて「〜の適応を説明し、結果を解釈できる」としては？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","適応を述べるだけなら知識ではないでしょうか","",""
"患者情報の統合、分析と評価、診療計画","検査(計画・分析評価)","","Jkxirxw","F-03-04-na-01","臨床疫学的指標（感度・特異度、尤度比等）を考慮して、必要十分な検査を挙げ、症例における検査結果の臨床的意義を解釈できる。","","削除:臨床疫学的指標（感度・特異度、尤度比等）を考慮して、検査計画を立てられる。","","","","","","","「臨床検査の特性（感度、特異度、偽陽性、偽陰性、検査前確率（事前確率）・検査後確率（事後確率）、尤度比、receiver operating characteristic <ROC>曲線）と判定基準（基準値・基準範囲、カットオフ値、パニック値）を説明できる。」に統合(近藤)(2022/2/14)","対応しました","７６と重複","７６と重なる","76に統合、削除？","","","","","76と重複","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","主要症候[@tbl:主要症候]について初期対応を計画し、専門的診療が必要かどうかを考えることができる。","Jkxirx0","F-01-01-na-03,F-01-02-na-03,F-01-03-na-03,F-01-04-na-03,F-01-05-na-03,F-01-06-na-03,F-01-07-na-03,F-01-08-na-03,F-01-09-na-03,F-01-10-na-03,F-01-11-na-03,F-01-12-na-03,F-01-13-na-03,F-01-14-na-03,F-01-15-na-03,F-01-16-na-03,F-01-17-na-03,F-01-18-na-03,F-01-19-na-03,F-01-20-na-03,F-01-21-na-03,F-01-22-na-03,F-01-23-na-03,F-01-24-na-03,F-01-25-na-03,F-01-26-na-03,F-01-27-na-03,F-01-28-na-03,F-01-29-na-03,F-01-30-na-03,F-01-31-na-03,F-01-32-na-03,F-01-33-na-03,F-01-34-na-03,F-01-35-na-03,F-01-36-na-03,F-01-37-na-03,F-03-01-na-04","発熱がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,全身倦怠感がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,食思(欲)不振がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,体重減少・体重増加がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,ショック状態にある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,心停止患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,意識障害・失神がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,けいれんがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,めまいがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,脱水がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,浮腫がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,発疹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,咳・痰がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,血痰・喀血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,呼吸困難がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,胸痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,動悸がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,胸水がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,嚥下困難・障害がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,腹痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,悪心・嘔吐がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,吐血・下血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,便秘・下痢がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,黄疸がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,腹部膨隆（腹水を含む）・腫瘤がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,貧血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,リンパ節腫脹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,尿量・排尿の異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,血尿・タンパク尿がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,月経異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,不安・抑うつがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,もの忘れがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,頭痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,運動麻痺・筋力低下がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,腰背部痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,関節痛・関節腫脹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,外傷・熱傷がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,主要疾患の症例に関して、診断・治療計画を立案できる。","主要症候[^table:主要症候]について初期対応を計画し、専門的治療が必要な状態を説明できる。","主要症候[^table:主要症候]について初期対応を計画し、専門的治療が必要な状態を説明できる。","主要症候[@tbl:主要症候]について初期対応を計画し、専門的診療が必要かどうかを考えることができる。","日本語をわかりやすく修正","",2.0,"","主要症候[@tbl:主要症候]について初期対応を計画し、専門的診療が必要かどうかを考えることができる。","何症候とするかが難しく●●と仮にした(近藤)(2022/2/14)治療の要点とあったが、まだ「症候」の状態であり初期対応に変更。また初期対応を説明→初期対応を計画とした(Doesに近づけるため)(近藤)","基本症候は別表に記載されます","","","「基本症候」が「F/G（多臓器にまたがる症状・症候）」に限定されないような書き方が必要。単一臓器がメインとなる他の重要な症状・症候がDに含まれる予定なので。あるいは、「基本症候」としてDとF/Gに含まれる全ての（症状・）症候を列挙する必要がある。","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxirx4","F-02-01-na-07","治療やマネジメントに関して意思決定するために、患者側と情報共有や摺り合わせをすることができる。","患者ケアに関して情報共有や摺り合わせをすることができる。","患者ケアに関して情報共有や摺り合わせをすることができる。","","コミュ24と重複","",2.0,"","","","患者ケアに関してとしました","「治療に関して」と単純化してはいかがでしょうか
患者と情報共有や擦り合わせを行うことがマネジメントだと思います","","コミュ23、総合13、15と重複。「治療やマネジメントに関し、患者や家族との情報共有や意見の摺り合わせ、適切な説明を実施することで、患者の理解と同意を踏まえた意思決定を支援することができる。」","","他所で行うので削除で良いのでは？","","","コミュにあります","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","服薬の基本・アドヒアランスについて理解している。","Jkxiry4","F-02-08-na-11","処方箋の書き方、服薬の基本・アドヒアランスを説明できる。","処方箋の書き方、服薬の基本・アドヒアランスを説明できる。","処方箋の書き方、服薬の基本・アドヒアランスを説明できる。","服薬の基本・アドヒアランスについて理解している。","説明→理解
処方箋は切り離し","",2.0,"","服薬の基本・アドヒアランスについて理解している。","","技能で審議しこのままとしました","処方箋については、「発行はできない」が、下書きなどは可能ですので「実演できる」など適切な動詞を考えてください","","卒業の時点で処方箋は書ける必要があると思いますので、「指導医とともに処方箋を作成することができる」と「服薬の基本・アドヒアランスを説明できる」にわけては？","","","を理解し、処方計画を提案できる","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","処方箋の下書きを作成することができる","","","","","","処方箋の下書きを作成することができる","新設","",2.0,"","処方箋の下書きを作成することができる","","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","薬の薬理作用、適応、有害事象、投与時の注意事項について理解している。","JkxiryY","F-02-08-na-04","各臓器系統（中枢・末梢神経、循環器、呼吸器、消化器、腎泌尿器、血液、内分泌等）に作用する薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。","各臓器系統（中枢・末梢神経、循環器、呼吸器、消化器、腎泌尿器、血液、内分泌等）に作用する薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。","各臓器系統（中枢・末梢神経、循環器、呼吸器、消化器、腎泌尿器、血液、内分泌等）に作用する薬の薬理作用、適応、有害事象、投与時の注意事項を説明できる。","薬の薬理作用、適応、有害事象、投与時の注意事項について理解している。","日本語を短く変更。理解→説明","",2.0,"","薬の薬理作用、適応、有害事象、投与時の注意事項について理解している。","","技能で審議しこのままとしました","薬剤に関しては、説明できるだけでなく（臨床実習で）処方計画をたてる、くらいまでは目標としてほしいです","","","","","注意事項を理解し、処方計画を提案できる","","","臓器の具体名は不要かもしれません。",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","年齢や臓器障害に応じた薬物動態の特徴を考慮した薬剤投与の注意点について理解している。","Jkxiryw","F-02-08-na-09","年齢や臓器障害に応じた薬物動態の特徴を考慮して薬剤投与の注意点を説明できる。","年齢や臓器障害に応じた薬物動態の特徴を考慮して薬剤投与の注意点を説明できる。","年齢や臓器障害に応じた薬物動態の特徴を考慮して薬剤投与の注意点を説明できる。","年齢や臓器障害に応じた薬物動態の特徴を考慮した薬剤投与の注意点について理解している。","理解→説明","",2.0,"","年齢や臓器障害に応じた薬物動態の特徴を考慮した薬剤投与の注意点について理解している。","","技能で審議しこのままとしました","","","「考慮した」","","","注意事項を理解し、処方計画を提案できる","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","薬物動態的相互作用について理解している。","Jkxiry0","F-02-08-na-10","薬物動態的相互作用について例を挙げて説明できる。","薬物動態的相互作用について例を挙げて説明できる。","薬物動態的相互作用について例を挙げて説明できる。","薬物動態的相互作用について理解している。","なぜここだけ「例を挙げて」なのか？","",2.0,"","薬物動態的相互作用について理解している。","","技能で審議しこのままとしました","","","","","","理解し、処方計画を提案できる","","知識と重なります","",""
