"主要に含まれない着目すべきもの","臓器","分類","項目名","H28対応項目","削除項目","追加項目","メモ"
"","主要症候","症状・症候","腰背部痛","F-01-35-na-01,F-01-35-na-02,F-01-35-na-03,G-02-35-na-01,G-02-35-na-02,G-02-35-na-03,G-02-35-na-04,G-02-35-na-05,G-02-35-na-06,G-02-35-na-07,G-02-35-na-08,G-02-35-na-09,G-02-35-na-10","","",""
"","消化器系","症状・症候","腹痛","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","生殖機能","症状・症候","腹痛","D-09-03-02-01,D-09-03-02-02,D-09-03-02-04","","",""
"","妊娠と分娩","症状・症候","腹痛","D-10-02-na-01,D-10-02-na-02,D-10-02-na-03","","",""
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","腹痛","E-05-02-na-10","","",""
"","感染症","症状・症候","腹痛","E-02-03-na-17","","",""
"","主要症候","症状・症候","腹痛","F-01-20-na-01,F-01-20-na-02,F-01-20-na-03,G-02-20-na-01,G-02-20-na-02,G-02-20-na-03,G-02-20-na-04,G-02-20-na-05,G-02-20-na-06,G-02-20-na-07,G-02-20-na-08,G-02-20-na-09,G-02-20-na-10,G-02-20-na-11,G-02-20-na-12,G-02-20-na-13","","",""
"","消化器系","症状・症候","腹部膨隆・腫瘤","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","生殖機能","症状・症候","腹部膨隆・腫瘤","D-09-03-02-01,D-09-03-02-02,D-09-03-02-04","","",""
"","妊娠と分娩","症状・症候","腹部膨隆・腫瘤","D-10-02-na-01,D-10-02-na-02,D-10-02-na-03","","",""
"","主要症候","症状・症候","腹部膨隆・腫瘤","F-01-25-na-01,F-01-25-na-02,F-01-25-na-03,G-02-25-na-01,G-02-25-na-02,G-02-25-na-03,G-02-25-na-04,G-02-25-na-05,G-02-25-na-06,G-02-25-na-07","","",""
"","腎・尿路系（体液・電解質バランスを含む）","症状・症候","臨床症候の分類（急性腎炎症候群・慢性腎炎症候群・ネフローゼ症候群・急速進行性腎炎症候群・反復性または持続性血尿症候群）","D-08-04-02-05","","",""
"","腎・尿路系（体液・電解質バランスを含む）","症状・症候","血尿","","","",""
"","生殖機能","症状・症候","血尿","D-09-03-02-01,D-09-03-02-02,D-09-03-02-04","","",""
"","免疫・アレルギー","症状・症候","血尿","E-04-02-na-10","","","（そもそもチームの作業で「血尿」のみとなりました。"
"","主要症候","症状・症候","血尿","F-01-29-na-01,F-01-29-na-02,F-01-29-na-03,G-02-29-na-01,G-02-29-na-02,G-02-29-na-03,G-02-29-na-04,G-02-29-na-05,G-02-29-na-06,G-02-29-na-07","","",""
"","感染症","症状・症候","血尿・タンパク尿","E-02-03-na-21","","",""
"","血液・造血器・リンパ系","症状・症候","血栓傾向","D-01-03-na-04, D-01-03-na-05,","","血栓傾向",""
"","呼吸器系","症状・症候","血痰・喀血","D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","D-06-03-02-01,D-06-03-02-03の「息切れのみ」","","そもそもグループの記載ガイドに従う"
"","感染症","症状・症候","血痰・喀血","E-02-03-na-15","","",""
"","主要症候","症状・症候","血痰・喀血","F-01-14-na-01,F-01-14-na-02,F-01-14-na-03,G-02-14-na-01,G-02-14-na-02,G-02-14-na-03,G-02-14-na-04,G-02-14-na-05,G-02-14-na-06","","",""
"","眼・視覚系","症状・症候","視力障害","D-13-03-01-01","","",""
"","眼・視覚系","症状・症候","視野異常","D-13-03-01-01","","",""
"","神経系","症状・症候","認知障害","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害",""
"","精神系","症状・症候","認知障害","D-15-02-na-02","","",""
"","主要症候","症状・症候","認知障害","F-01-32-na-01,F-01-32-na-02,F-01-32-na-03,G-02-32-na-01,G-02-32-na-02,G-02-32-na-03,G-02-32-na-04","","",""
"","血液・造血器・リンパ系","症状・症候","貧血","D-01-03-na-04, D-01-03-na-05,","","血栓傾向",""
"","神経系","症状・症候","運動麻痺・筋力低下","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害",""
"","運動器（筋骨格）系","症状・症候","運動麻痺・筋力低下","D-04-03-na-01, D-04-03-na-02, D-04-03-na-03","","D-04-03-na-04, D-04-03-na-05","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）"
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","運動麻痺・筋力低下","E-05-02-na-09","","",""
"","主要症候","症状・症候","運動麻痺・筋力低下","F-01-34-na-01,F-01-34-na-02,F-01-34-na-03,G-02-34-na-01,G-02-34-na-02,G-02-34-na-03,G-02-34-na-04,G-02-34-na-05,G-02-34-na-06,G-02-34-na-07,G-02-34-na-08,G-02-34-na-09,G-02-34-na-10","","",""
"","耳鼻・咽喉・口腔系","症状・症候","開口障害","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","運動器（筋骨格）系","症状・症候","関節痛・関節腫脹","D-04-03-na-01, D-04-03-na-02, D-04-03-na-03","","D-04-03-na-04, D-04-03-na-05","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）"
"","免疫・アレルギー","症状・症候","関節痛・関節腫脹","E-04-02-na-11","","",""
"","感染症","症状・症候","関節痛・関節腫脹","E-02-03-na-22","","","編集あり"
"","主要症候","症状・症候","関節痛・関節腫脹","F-01-36-na-01,F-01-36-na-02,F-01-36-na-03,G-02-36-na-01,G-02-36-na-02,G-02-36-na-03","","",""
"","耳鼻・咽喉・口腔系","症状・症候","難聴","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","神経系","症状・症候","頭痛","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害",""
"","眼・視覚系","症状・症候","頭痛","D-13-03-02-01,D-13-03-02-02,D-13-03-02-03","","",""
"","主要症候","症状・症候","頭痛","F-01-33-na-01,F-01-33-na-02,F-01-33-na-03,G-02-33-na-01,G-02-33-na-02,G-02-33-na-03,G-02-33-na-04,G-02-33-na-05,G-02-33-na-06,G-02-33-na-07","","",""
"","感染症","症状・症候","頭痛・頭重感","E-02-03-na-16","","",""
"","神経系","症状・症候","頭蓋内圧亢進（急性・慢性）","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","D-02-03-04-01","",""
"","眼・視覚系","症状・症候","飛蚊症","D-13-03-01-01","","",""
"","主要症候","症状・症候","食思(欲)不振","F-01-03-na-01,F-01-03-na-02,F-01-03-na-03,G-02-03-na-01,G-02-03-na-02,G-02-03-na-03,G-02-03-na-04,G-02-03-na-05","","",""
"","消化器系","症状・症候","食思<欲>不振","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","血液・造血器・リンパ系","症状・症候","黄疸","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07","",""
"","消化器系","症状・症候","黄疸","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","感染症","症状・症候","黄疸","E-02-03-na-07","","",""
"","主要症候","症状・症候","黄疸","F-01-24-na-01,F-01-24-na-02,F-01-24-na-03,G-02-24-na-01,G-02-24-na-02,G-02-24-na-03,G-02-24-na-04,G-02-24-na-05,G-02-24-na-06","","",""
"","耳鼻・咽喉・口腔系","症状・症候","鼻出血","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","耳鼻・咽喉・口腔系","症状・症候","鼻漏","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","耳鼻・咽喉・口腔系","症状・症候","鼻閉","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","生殖機能","症状・症候","","D-09-03-02-01,D-09-03-02-02,D-09-03-02-04","","",""
