"index","第1層（大項目）","第2層（中項目）","第3層（小項目）","第4層（細小項目）","第5層（学修目標）"
467.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(2) 蕁麻疹、紅斑症、紅皮症と皮膚掻痒症","①蕁麻疹の病態、診断と治療を説明できる。"
468.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(2) 蕁麻疹、紅斑症、紅皮症と皮膚掻痒症","②多形滲出性紅斑、環状紅斑と紅皮症の病因と病態を説明できる。"
469.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(2) 蕁麻疹、紅斑症、紅皮症と皮膚掻痒症","③皮膚そう痒症の病因と病態を説明できる。"
470.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(3) 紫斑・血流障害と血管炎","①皮膚血流障害と血管炎の病因、症候と病態を説明できる。"
471.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(4) 薬疹・薬物障害","①薬疹や薬物障害の発生機序、症候と治療を説明できる。"
472.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(4) 薬疹・薬物障害","②薬疹を起こしやすい主な薬物を列挙できる。"
473.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(5) 水疱症と膿疱症","①自己免疫性水疱症の病因、病態と分類を説明できる。"
474.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(5) 水疱症と膿疱症","②膿疱症の種類と病態を説明できる。"
475.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(5) 水疱症と膿疱症","③水疱症鑑別のための検査法を説明できる。"
476.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(6) 乾癬と角化症","①尋常性乾癬、扁平苔癬とGibert薔薇色粃糠疹の病態、症候と治療を説明できる。"
477.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(6) 乾癬と角化症","②魚鱗癬の病態、症候と治療を説明できる。"
478.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(7) 皮膚感染症","①皮膚細菌感染症（伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）を列挙し、概説できる。"
479.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(7) 皮膚感染症","②皮膚真菌症（表在性、深在性）の症候と病型を説明できる。"
480.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(7) 皮膚感染症","③皮膚結核病の症候、病型と病因菌を説明できる。"
481.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(7) 皮膚感染症","④梅毒の症候、病期と合併症を説明できる。"
482.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(7) 皮膚感染症","⑤皮膚ウイルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）を列挙し、概説できる。"
483.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(7) 皮膚感染症","⑥後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫等）を列挙し、概説できる。"
484.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(8) 母斑・腫瘍性疾患・腫瘍","①母斑・母斑症の種類を列挙できる。"
485.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(8) 母斑・腫瘍性疾患・腫瘍","②皮膚良性腫瘍、前癌状態と悪性腫瘍の種類と見分け方を説明できる。"
486.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(8) 母斑・腫瘍性疾患・腫瘍","③皮膚悪性リンパ腫、血管肉腫を説明できる。"
487.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(8) 母斑・腫瘍性疾患・腫瘍","④基底細胞上皮腫(癌)の定義と病態、症候、皮疹とダーモスコピー像の所見、病理所見や診断、治療法を説明できる。"
488.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(8) 母斑・腫瘍性疾患・腫瘍","⑤有棘細胞癌の定義と病態、症候、皮疹とダーモスコピー像の所見、病理所見や診断、治療法を説明できる。"
489.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(8) 母斑・腫瘍性疾患・腫瘍","⑥悪性黒色腫の定義と病態、症候、皮疹とダーモスコピー像の所見、病理所見や診断、治療法を説明できる。"
490.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(9) 付属器疾患","①毛の疾患の病態、症状と治療を説明できる。"
491.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-3 皮膚系","D-3-4) 疾患","D-3-4)-(9) 付属器疾患","②爪の疾患の病態、症状と治療を説明できる。"
492.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-1) 構造と機能","なし","①骨・軟骨・関節・靱帯の構成と機能を説明できる。"
493.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-1) 構造と機能","なし","②頭頸部の構成を説明できる。"
494.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-1) 構造と機能","なし","③脊柱の構成と機能を説明できる。"
495.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-1) 構造と機能","なし","④四肢の骨格、主要筋群の運動と神経支配を説明できる。"
496.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-1) 構造と機能","なし","⑤骨盤の構成と性差を説明できる。"
497.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-1) 構造と機能","なし","⑥骨の成長と骨形成・吸収の機序を説明できる。"
498.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-1) 構造と機能","なし","⑦姿勢と体幹の運動にかかわる筋群を概説できる。"
499.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-1) 構造と機能","なし","⑧抗重力筋を説明できる。"
500.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-2) 診断と検査の基本","なし","①筋骨格系の病態に即した徒手検査（四肢・脊柱の可動域検査、神経学的検査等）を説明できる。"
501.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-2) 診断と検査の基本","なし","②筋骨格系画像診断（エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、超音波検査、骨塩定量）の適応を概説できる。"
502.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-3) 症候","なし","①運動麻痺・筋力低下"
503.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-3) 症候","なし","②関節痛・関節腫脹"
504.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-3) 症候","なし","③腰背部痛"
505.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","①四肢・脊椎外傷の診断と初期治療を説明できる。"
506.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","②関節の脱臼、靱帯損傷の定義、重症度分類、診断と治療を説明できる。"
507.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","③骨折の分類、症候、診断、治療と合併症を説明できる。"
508.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","④コンパートメント症候群の病態、症候、診断と治療を説明できる。"
509.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑤骨粗鬆症の病因と病態を説明し、骨折の好発部位を列挙できる。"
510.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑥関節炎、腱鞘炎の病態、診断と治療を説明できる。"
511.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑦変形性関節症の症候、診断と治療を説明できる。"
512.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑧絞扼性末梢神経障害（手根管症候群、肘部管症候群等）を列挙し、その症候を説明できる。"
513.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑨頸椎症性脊髄症（脊柱靭帯骨化症を含む）・頸椎症性神経根症の神経症候を説明できる。"
514.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑩脊髄損傷の診断、治療を説明できる。"
515.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑪腰椎椎間板ヘルニアの症候、診断と治療を説明できる。"
516.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑫腰部脊柱管狭窄症の病態、症候、診断と治療を説明できる。"
517.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑬腰椎分離・すべり症の症候、診断と治療を説明できる。"
518.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑭運動器慢性疼痛（腰背部痛、頸部痛、肩こり）の病態、診断と治療を説明できる。"
519.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(1) 運動器系の一般的疾患","⑮運動器疾患のリハビリテーションを概説できる。"
520.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(2) 感染性疾患","①化膿性関節炎の症候、診断と治療を説明できる。"
521.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(2) 感染性疾患","②椎間板炎、化膿性脊椎炎、脊椎カリエスの症候、診断と治療を説明できる。"
522.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(3) 腫瘍性疾患","①原発性骨腫瘍（骨肉腫、Ewing肉腫）の臨床所見、画像所見、病理所見、初期治療を説明できる。"
523.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(3) 腫瘍性疾患","②転移性骨腫瘍の臨床所見、画像所見、検査所見を説明できる。"
524.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-4 運動器（筋骨格）系","D-4-4) 疾患","D-4-4)-(3) 腫瘍性疾患","③悪性軟部腫瘍（脂肪肉腫）の診断、病理所見、治療を概説できる。"
525.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","①心臓の構造と分布する血管・神経、冠動脈の特長とその分布域を説明できる。"
526.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","②心筋細胞の微細構造と機能を説明できる。"
527.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","③心筋細胞の電気現象と心臓の興奮（刺激）伝導系を説明できる。"
528.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","④興奮収縮連関を概説できる。"
529.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑤体循環、肺循環と胎児・胎盤循環を説明できる。"
530.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑥大動脈と主な分枝（頭頸部、上肢、胸部、腹部、下肢）を図示し、分布域を概説できる。"
531.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑦主な静脈を図示し、門脈系と上・下大静脈系を説明できる。"
532.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑧毛細血管における物質・水分交換を説明できる。"
533.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑨胸管を経由するリンパの流れを概説できる。"
534.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑩心周期にともなう血行動態を説明できる。"
535.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑪心機能曲線と心拍出量の調節機序を説明できる。"
536.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑫主な臓器（脳、心臓、肺、腎臓）の循環調節を概説できる。"
537.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑬血圧調節の機序を説明できる。"
538.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-1) 構造と機能","なし","⑭体位や運動に伴う循環反応とその機序を説明できる。"
539.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-2) 診断と検査の基本","なし","①胸部単純エックス線撮影写真、心電図の主な所見を説明できる。"
540.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-2) 診断と検査の基本","なし","②心臓超音波検査の主な所見を説明できる"
541.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-2) 診断と検査の基本","なし","③運動負荷心電図、ホルタ―心電図を説明できる。"
542.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-2) 診断と検査の基本","なし","④心臓シンチグラフィ－を説明できる。"
543.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-2) 診断と検査の基本","なし","⑤冠動脈造影、冠動脈コンピュータ断層撮影<CT>及び心臓磁気共鳴画像法<MRI>の主な所見を説明できる。"
544.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-2) 診断と検査の基本","なし","⑥心カテーテル検査（心内圧、心機能、シャント率の測定）と結果の解釈を説明できる。"
545.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","①発熱"
546.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","②全身倦怠感"
547.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","③食思(欲)不振"
548.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","④体重減少・体重増加"
549.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑤ショック"
550.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑥意識障害・失神"
551.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑦けいれん"
552.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑧めまい"
553.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑨浮腫"
554.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑩咳・痰"
555.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑪呼吸困難"
556.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑫胸痛"
557.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑬動悸"
558.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑭胸水"
559.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑮嚥下困難・障害"
560.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑯腹痛"
561.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑰悪心・嘔吐"
562.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑱頭痛"
563.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑲腰背部痛"
564.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-3) 症候","なし","⑳心停止"
565.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(1) 心不全","①心不全の定義と原因、病態生理（収縮不全、拡張不全）を説明できる。"
566.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(1) 心不全","②左心不全と右心不全の徴候、病態、診断と治療を説明できる。"
567.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(1) 心不全","③急性心不全と慢性心不全の診断と薬物療法、非薬物療法（心臓リハビリテーションを含む）を説明できる。"
568.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(1) 心不全","④心不全診療における多職種連携（チーム医療）による疾病管理プログラムを概説できる。"
569.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(1) 心不全","⑤高齢者における心不全の特徴を説明できる。"
570.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(2) 虚血性心疾患","①安定労作性狭心症の病態、症候、診断、治療を説明できる。"
571.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(2) 虚血性心疾患","②冠攣縮性狭心症の病態、症候、診断、治療を説明できる。"
572.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(2) 虚血性心疾患","③急性冠症候群（不安定狭心症、非ST上昇型心筋梗塞及びST上昇型心筋梗塞）の病態、症候、診断、治療を説明できる。"
573.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(2) 虚血性心疾患","④虚血性心疾患の発症予防、再発予防を説明できる。"
574.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(2) 虚血性心疾患","⑤陳旧性心筋梗塞の病態、症候、診断、治療を説明できる。"
575.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(2) 虚血性心疾患","⑥虚血性心疾患の薬物治療、非薬物療法（血行再建術（経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術））、心臓リハビリテーションを説明できる。"
576.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(3) 不整脈","①主な徐脈性不整脈（洞不全症候群（sick sinus症候群）、房室ブロック）の原因、症候、心電図の特徴、治療を説明できる。"
577.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(3) 不整脈","②主な上室性頻脈性不整脈（洞性頻脈、上室性期外収縮、心房細動、心房粗動、発作性上室性頻拍症）の原因、症候、心電図の特徴、治療を説明できる。"
578.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(3) 不整脈","③主な心室性頻脈性不整脈（心室性期外収縮、心室頻拍、多源性心室頻拍（トルサード・ド・ポワント(torsades de pointes)、心室細動）の原因、症候、心電図の特徴、治療を説明できる。"
579.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(3) 不整脈","④不整脈の原因となる疾患や病態（電解質異常、QT延長症候群、薬剤、甲状腺機能亢進症、Wolff-Parkinson-White <WPW>症候群、Brugada症候群等）を説明できる。"
580.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(3) 不整脈","⑤不整脈の薬物療法、非薬物療法（カテーテルアブレーション、電気的除細動、ペースメーカー植え込み、植え込み型除細動器）を概説できる。"
581.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(3) 不整脈","⑥致死性不整脈の診断、初期対応、治療を説明できる。"
582.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(4) 弁膜症","①主な弁膜症（僧帽弁疾患、大動脈弁疾患）の病因、病態生理、症候と診断を説明し、治療を説明できる。"
583.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(5) 心筋・心膜疾患","①心肥大の病態生理、リモデリング機序を説明できる。"
584.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(5) 心筋・心膜疾患","②特発性心筋症（肥大型心筋症、拡張型心筋症、拘束型心筋症）と二次性心筋疾患の定義・概念と病態生理を説明できる。"
585.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(5) 心筋・心膜疾患","③急性心筋炎の病態、症候、診断、治療症候を説明できる。"
586.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(5) 心筋・心膜疾患","④感染性心内膜炎の病態、症候、診断、治療を説明できる。"
587.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(5) 心筋・心膜疾患","⑤急性心膜炎、収縮性心膜炎の病態、症候、診断、治療を説明できる。"
588.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(5) 心筋・心膜疾患","⑥心タンポナーデの病態、症候、診断、治療を説明できる。"
589.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(5) 心筋・心膜疾患","⑦主な心臓腫瘍（粘液腫など）の病態、症候、診断、治療を説明できる。"
590.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(6) 先天性心疾患","①主な先天性心疾患（心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot四徴症）の病態生理、症候と診断を説明し、治療を概説できる。"
591.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(7) 動脈疾患","①動脈硬化の危険因子、病態、非侵襲的検査法を説明できる。"
592.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(7) 動脈疾患","②急性大動脈解離の病態、症候、診断、治療を説明できる。"
593.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(7) 動脈疾患","③大動脈瘤（破裂）の病態、症候、診断、治療を説明できる。"
594.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(7) 動脈疾患","④閉塞性動脈硬化症とBuerger病の病態、症候、診断、治療を説明できる。"
595.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(7) 動脈疾患","⑤高安動脈炎（大動脈炎症候群）を概説できる。"
596.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(8) 静脈・リンパ管疾患","①深部静脈血栓症(deep vein thrombosis <DVT>)、血栓性静脈炎の病因、症候、合併症、治療を説明できる。"
597.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(8) 静脈・リンパ管疾患","②上大静脈症候群の病因と症候を説明できる。"
598.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(8) 静脈・リンパ管疾患","③下肢静脈瘤を説明できる。"
599.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(8) 静脈・リンパ管疾患","④リンパ浮腫の病因を列挙できる。"
600.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(9) 高血圧症","①本態性高血圧症の疫学、診断、合併症、予後、治療を説明できる。"
601.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(9) 高血圧症","②二次性高血圧症の病因（内分泌性、腎血管性、薬剤性）、症候、診断、治療を説明できる。"
602.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(9) 高血圧症","③各種降圧薬の作用機序、適応、禁忌、副作用を説明できる。"
603.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(9) 高血圧症","④高血圧緊急症の病態と対応を説明できる。"
604.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(9) 高血圧症","⑤他疾患（脳血管疾患、心疾患、腎疾患、糖尿病）を合併する場合の血圧管理を説明できる。"
605.0,"D 人体各器官の正常構造と機能、病態、診断、治療","D-5 循環器系","D-5-4) 疾患","D-5-4)-(9) 高血圧症","⑥高齢者の高血圧の特徴と治療の注意点を説明できる。"
