"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読に対するコメント","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"地域の視点とアプローチ","プライマリ・ケアにおける基本概念","患者の所属する地域や文化的な背景が健康に関連することを理解している。","Jkxpss4","","患者の所属する地域や文化的な背景が健康に関連することを説明できる。","患者の所属する地域や文化的な背景が健康に関連することを説明できる。","","患者の所属する地域や文化的な背景が健康に関連することを理解している。","理解している、に変更",2.0,"","患者の所属する地域や文化的な背景が健康に関連することを理解している。","新規","学生にとってわかりにくいと思われる文言を修正し、「理解できる」としました。提案：患者が抱える健康課題と地理的・歴史的・経済的・文化的背景との相互関係について説明できる。（春田：2/15）","学生にとってわかりにくいと思われる文言を修正し、「説明できる」としました。","学生にとって、なんのことかわかるでしょうか？
英語から訳されたJACMEの訳を読むのと同じ感覚が残りました","","","","","３０と３１、３２はすこしレベル下げて統合？","","11に含まれる内容と思いました。","",""
"地域の視点とアプローチ","プライマリ・ケアにおける基本概念","","Jkxpss8","","","削除：患者の診療において、患者の所属する地域、背景集団に対するケアの視点を取り入れた診療を行うことができる。","","","",2.0,"","","新規","31と統合して削除しました","上記と統合して削除しました","プライマリケアにおける基本概念全体が、学生のレベルとあっているかどうか・・・","","「診療を行うことができる」が非観察下での単独レベルのような印象を与えるため、学生レベルでは難しいように思いました。「指導医とともに行うことができる」？","","","","","9に含まれる内容ではないでしょうか（動詞レベルが違いますか？）","",""
"地域の視点とアプローチ","地域におけるプライマリ・ケア","地域（都会・郊外・へき地・離島を含む）の実情に応じた医療と医師の偏在（地域、診療科及び臨床・非臨床）の現状を理解している。","JkxpstA","B-01-07-na-01,A-07-01-na-01","地域（都会・郊外・へき地・離島を含む）の実情に応じた医療と医師の偏在（地域、診療科及び臨床・非臨床）の現状について概説できる。","地域(都会・郊外・へき地・離島を含む)の実情に応じた医療と医師の偏在（地域、診療科及び臨床・非臨床）の現状について概説できる。","地域社会（へき地・離島を含む）における医療の状況、医師の偏在（地域、診療科及び臨床・非臨床）の現状を概説できる。,地域社会（離島・へき地を含む）における医療の状況、医師の偏在（地域、診療科及び臨床・非臨床）の現状を概説できる。","地域（都会・郊外・へき地・離島を含む）の実情に応じた医療と医師の偏在（地域、診療科及び臨床・非臨床）の現状を理解している。","理解している、に変更",2.0,"","地域（都会・郊外・へき地・離島を含む）の実情に応じた医療と医師の偏在（地域、診療科及び臨床・非臨床）の現状を理解している。","修正,A-07-01-na-01　もでしょうか？（山梨）","ご指摘いただいた通りにＨ２８に沿って修正しました。","査読者コメント、ならびにH28の項目を受け「医師の偏在（地域、診療科及び臨床・非臨床）の現状について」を追記しております。","上の項目にあった「医療の継続性」はこの項目と近いですか？","","","","","","「地域(都会・郊外・へき地・離島を含む)の実情に応じた医療の状況、医師の偏在（地域、診療科及び臨床・非臨床）の現状について概説できる。」に修正するのはいかがでしょうか。","","",""
"地域の視点とアプローチ","地域におけるプライマリ・ケア","地域の医療体制や診療機関の規模・役割に応じて、医療者として柔軟に対応できる。","JkxpstE","","地域の医療体制や診療機関の規模・役割に応じて、医療者として柔軟に対応できる。","地域の医療体制や診療機関の規模・役割に応じて、医療者として柔軟に対応できる。","","地域の医療体制や診療機関の規模・役割に応じて、医療者として柔軟に対応できる。","ママ",2.0,"","地域の医療体制や診療機関の規模・役割に応じて、医療者として柔軟に対応できる。","新規","学生レベルではなかったため、「指導医とともに提供できる」に変更しました。","学生レベルではなかったため、「医療者として柔軟に対応できる」に変更しました。","学生レベルではない","","「提供する」が非観察下での単独レベルのような印象を与えるため、学生レベルでは難しいように思いました。「指導医とともに提供できる」","","","","","提供する、は学生レベルではないように思います。","",""
"地域の視点とアプローチ","地域におけるプライマリ・ケア","患者の居住する地域における各疾患の罹患率、有病率などの指標を用い、臨床推論で活用できる。","JkxpstI","","患者の居住する地域における各疾患の罹患率、有病率などの指標を用い、臨床推論で活用できる。","患者の居住する地域における各疾患の罹患率、有病率などの指標を用い、臨床推論で活用できる。","","患者の居住する地域における各疾患の罹患率、有病率などの指標を用い、臨床推論で活用できる。","ママ",2.0,"","患者の居住する地域における各疾患の罹患率、有病率などの指標を用い、臨床推論で活用できる。","新規","学生レベルではなかったため、「臨床推論で活用できる」に修正しました","学生レベルではなかったため、「臨床推論で活用できる」に修正しました","学生にどこまで求めるかですが、概説ならOKか？","","これは「患者の居住する地域の頻度の高い疾病(コモンディジーズ)についての知識を、罹患率、有病率などの指標を用い、臨床推論で活用できる」レベルを目指してよいのでは？臓器横断的の「主訴に応じた問診」に必要な能力として。","","","３５，３６は削除候補では？","","学生の所属する大学のある地域でしょうか？疾患ごとの地域性であれば、各論の中で学ぶのかなと思いました（北海道のエキノコッカスなど）","","【宮地】39は病病連携・病診連携などのその地域固有のネットワークの中で「この医療機関が担うべき役割はなにか」を理解しそう振る舞う能力、40は例えばその地域でその時流行っている感染症などを目の前の患者の診断推論で使う能力で、異なるものを扱っているように思いますので、別立てでよいのでは。"
"地域の視点とアプローチ","地域におけるプライマリ・ケア","地域の量的指標（人口構成等）や質的情報（地理的・歴史的・経済的・文化的背景）を収集し、地域の健康課題を説明できる。","JkxpstM","","地域の量的指標（人口構成等）や質的情報（地理的・歴史的・経済的・文化的背景）を収集し、地域の健康課題を説明できる。","地域の量的指標（人口構成など）や質的情報（地理的・歴史的・経済的・文化的背景）を収集し、地域の健康課題を説明できる。","","地域の量的指標（人口構成等）や質的情報（地理的・歴史的・経済的・文化的背景）を収集し、地域の健康課題を説明できる。","ママ",2.0,"","地域の量的指標（人口構成等）や質的情報（地理的・歴史的・経済的・文化的背景）を収集し、地域の健康課題を説明できる。","新規","学生レベルではないため、「健康課題の特定」までに修正しました,提案：地域の人口構成などの医療に限らない客観的指標や地域の質的な観察を通し、地域の健康課題と地理的・歴史的・経済的・文化的背景との相互関係について説明できる。(春田：2/15）","学生レベルではないため、「地域の量的指標（人口構成など）や質的情報（地理的・歴史的・経済的・文化的背景）を収集し、地域の健康課題を説明できる。」と修正しました","PC専門医に任せてはどうでしょうか","","かなり多くの能力が入っていると思うので、「医療に限らない客観的指標や観察を通し、患者の居住する地域の健康課題を特定できる」と、「その地域社会で活用できる人的・物的資源を特定し、地域の健康課題に対する医療・サービスの提供や改善計画の策定を、指導医とともに実施できる。」という分割案を提案します。","","","","","気持ちはわかるのですが、学生にどこまでもとめるのかな、と思いました（これが実践できている医師が多いとは思えません）","",""
"地域の視点とアプローチ","地域におけるプライマリ・ケア","地域の住民や専門職と協働した地域の健康増進活動の意義を理解している。","JkxpstQ","B-01-04-na-05","地域の住民や専門職と協働した地域の健康増進活動について概説できる。","地域の住民や専門職と協働した地域の健康増進活動について概説できる。","予防医学（一次、二次、三次予防）と健康保持増進（健康管理の概念・方法、健康診断・診査と事後指導）を概説できる。","地域の住民や専門職と協働した地域の健康増進活動の意義を理解している。","の意義を理解している、に変更。社会3と一部重複。",2.0,"","地域の住民や専門職と協働した地域の健康増進活動の意義を理解している。","修正","実施することは難しいため、概説に変更しました","実施することは難しいため、概説に変更しました","概説レベルならアクセプタブル","","これも単独では専向医レベルかと。「指導医とともに計画・実践することができる」","","","","","実践レベルは難しいように思いました。地域医療に力をいれるという点では残したいところですが。","",""
"地域の視点とアプローチ","地域におけるプライマリ・ケア","","JkxpstU","","","削除：患者の居住する地域で頻度が高い疾病(コモンディジーズ)についてプライマリ・ケアの対応を説明できる。","","","",2.0,"","","新規","35の修正に合わせて削除しました","35の修正に合わせて削除しました","","","","","","","","「頻度が」でしょうか。通常のプライマリケアの対応と異なる点があるでしょうか。","",""
"地域の視点とアプローチ","地域におけるプライマリ・ケア","","JkxpstY","","地域全体の医療に影響を与える問題（災害や新興感染症等）が起きた際の地域で必要とされる医師の役割について概説できる。","地域全体の医療に影響を与える問題（災害や新興感染症など）が起きた際の地域で必要とされる医師の役割について概説できる。","","","社会(気候変動)に引越し",2.0,"","","新規、他領域と整合をとるために、新型コロナウイルス感染症を新興感染症にしました。","学生レベルではなかったため、「概説できる」に修正しました","学生レベルではないため、「地域全体の医療に影響を与える問題（災害や新興感染症など）が起きた際の地域で必要とされる医師の役割について概説できる。」としました。","提供できるは無理でしょう","","これも単独では難しいように思います（学生はこういう状況で臨床の現場に出されない可能性もあります）。「指導医とともに提供できる」","","","削除候補と思います。","","コロナ問題への一つの解決策なのでなんらかの形で残していただきたい気がしますが、提供できるはレベルが高すぎるように思います。","",""
"地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","","Jkxpstc","B-04-01-na-13","医療を提供する上で必要となる様々な専門職や医療保険・介護保険で活用できる施設について説明できる。","医療を提供する上で必要となる様々な専門職や医療保険・介護保険で活用できる施設について説明できる。","多職種の医療・保健・福祉専門職、患者・利用者、その家族、地域の人々など、様々な立場の人が違った視点から医療現場に関わっていることを理解する。","","連携21、社会67と重複",2.0,"","","修正、一部説明がわかりにくかったので、修正しました。","","","","","","","","","","","",""
"地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","地域の人的・物的資源に応じた医療・サービスを提案できる。","Jkxpstg","","地域の人的・物的資源に応じた医療・サービスを提案できる。","地域の人的・物的資源に応じた医療・サービスを提案できる。","","地域の人的・物的資源に応じた医療・サービスを提案できる。","ママ",2.0,"","地域の人的・物的資源に応じた医療・サービスを提案できる。","新規","ご指摘いただいた通り、「提案できる」に修正しました","ご指摘いただいた通り、「提案できる」に修正しました。","提供できるは無理でしょう","","36行目に統合し削除？","","","提案できる　がよいのでは。？","","","",""
"地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","離島・へき地や医師不足地域等の医療資源が限られた状況での医療提供体制及び介護・保健・福祉の体制を理解している。","Jkxpstk","A-07-01-na-01,A-07-01-na-05,B-01-07-na-01,B-01-07-na-05","離島・へき地や医師不足地域等の医療資源が限られた状況での医療提供体制及び介護・保健・福祉の体制を説明できる。","離島・へき地や医師不足地域等の医療資源が限られた状況での医療提供体制及び介護・保健・福祉の体制を説明できる。","地域社会（離島・へき地を含む）における医療の状況、医師の偏在（地域、診療科及び臨床・非臨床）の現状を概説できる。,地域における救急医療、在宅医療及び離島・へき地医療の体制を説明できる。,地域社会（へき地・離島を含む）における医療の状況、医師の偏在（地域、診療科及び臨床・非臨床）の現状を概説できる。,地域における救急医療、在宅医療及び離島・へき地医療の体制を説明できる。","離島・へき地や医師不足地域等の医療資源が限られた状況での医療提供体制及び介護・保健・福祉の体制を理解している。","理解している、に変更",2.0,"","離島・へき地や医師不足地域等の医療資源が限られた状況での医療提供体制及び介護・保健・福祉の体制を理解している。","修正,補足事項）医療資源の過不足によって、診療が影響を受けることは避けられないため、その制約下で診療を行うことは全医師に求められる能力資質といえます。離島・へき地や医師不足地域等では人的資源、物的資源などの医療資源不足が起こりやすく、地域医療体制などの地域における健康課題や医療施設の役割を理解し、臨床的に妥当な初期検査などを用いた柔軟な診療対応を行う必要があります。また、対比的には医療資源が充足している場合であっても、資源を有効的に用いることが求められており（例 ：極めて高薬価な薬剤を処方する際に、医療保障費への影響を考慮する、患者個人の経済的負荷を考慮する）、総合的な診療能力の教育的観点で医療資源への配慮は必須の観点であると考えたため、項目を追加した。","誤字を修正し、33とは別に医療資源が限られた地域にフォーカスした内容として残しました。","42では体制を、43では具体的内容に言及をしています。誤字を修正し、33とは別に医療資源が限られた地域にフォーカスした内容として残しました。","33行と統合してはどうか","","「医療医療資源」を「医療資源」に","","","３３と統合で、できそうです。","","","","【宮地】僻地での臨床実習の必修化は受け入れ側の負担として難しいのでは。「理解している」レベルなら、そこで実習しなくても達成できる。"
"地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","","Jkxpsto","","離島・へき地や医師不足地域等の医療資源が限られた状況で有効な医療提供方法（Point-of-Care 検査等）について考えることができる。","離島・へき地や医師不足地域等の医療資源が限られた状況で有効な医療提供方法（Point-of-Care 検査等）について考えることができる。","","","46と重複","","46と重複が指摘されていますので、２つを合わせた内容として下記を提案します。「地域の人的・物的資源に応じて、場に応じた有効性の高い医療・サービス（Point-of-Care 検査等）を提案できる。」（山梨）","","新規,補足事項）医療資源の過不足によって、診療が影響を受けることは避けられないため、その制約下で診療を行うことは全医師に求められる能力資質といえます。離島・へき地や医師不足地域等では人的資源、物的資源などの医療資源不足が起こりやすく、地域医療体制などの地域における健康課題や医療施設の役割を理解し、臨床的に妥当な初期検査などを用いた柔軟な診療対応を行う必要があります。また、対比的には医療資源が充足している場合であっても、資源を有効的に用いることが求められており（例 ：極めて高薬価な薬剤を処方する際に、医療保障費への影響を考慮する、患者個人の経済的負荷を考慮する）、総合的な診療能力の教育的観点で医療資源への配慮は必須の観点であると考えたため、項目を追加した。","「について考えることができる」とし、44の内容と統合しました。","","33行と統合してはどうか","","「指導医とともに対応することができる」","","","３３と総合","学生レベルでは難しくないでしょうか。「説明できる」に修正してはどうでしょうか。","43と44は統合でいかがでしょうか","",""
"地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","","Jkxpsts","","","削除：離島・へき地や医師不足地域等の医療資源が限られた状況での医療に積極的に貢献することができる。","","","","","","","新規,補足事項）医療資源の過不足によって、診療が影響を受けることは避けられないため、その制約下で診療を行うことは全医師に求められる能力資質といえます。離島・へき地や医師不足地域等では人的資源、物的資源などの医療資源不足が起こりやすく、地域医療体制などの地域における健康課題や医療施設の役割を理解し、臨床的に妥当な初期検査などを用いた柔軟な診療対応を行う必要があります。また、対比的には医療資源が充足している場合であっても、資源を有効的に用いることが求められており（例 ：極めて高薬価な薬剤を処方する際に、医療保障費への影響を考慮する、患者個人の経済的負荷を考慮する）、総合的な診療能力の教育的観点で医療資源への配慮は必須の観点であると考えたため、項目を追加した。","43の修正に伴い削除しました。","43の修正に伴い削除しました。","33行と統合してはどうか","","43行目との違いがわかりにくい。削除でもよい？","","","３３と統合。削除。","43行目との違いがわかりにくいため削除でもよいでしょうか。","","",""
"地域の視点とアプローチ","在宅におけるプライマリ・ケア","在宅医療の現状と適応を踏まえて、その必要性や課題を理解している。","Jli5nR8","F-02-15-na-01","在宅医療の現状と適応を理解した上で、在宅医療の必要性や課題を概説できる。","在宅医療の現状と適応を理解した上で、在宅医療の必要性や課題を概説できる。","在宅医療の在り方、今後の必要性と課題を概説できる。","在宅医療の現状と適応を踏まえて、その必要性や課題を理解している。","日本語の修正",2.0,"","在宅医療の現状と適応を踏まえて、その必要性や課題を理解している。","","","{not found: Jli5nR8}","","","","","","","","","",""
"地域の視点とアプローチ","在宅におけるプライマリ・ケア","在宅における人生の最終段階における医療、看取りの在り方と課題を理解している。","Jli5nSE","F-02-15-na-04","在宅における人生の最終段階における医療、看取りの在り方と課題を概説できる。","在宅における人生の最終段階における医療、看取りの在り方と課題を概説できる。","在宅における人生の最終段階における医療、看取りの在り方と課題を概説できる。","在宅における人生の最終段階における医療、看取りの在り方と課題を理解している。","理解している、に変更",2.0,"","在宅における人生の最終段階における医療、看取りの在り方と課題を理解している。","","","{not found: Jli5nSE}","","","","","","","","","",""
"地域の視点とアプローチ","在宅におけるプライマリ・ケア","","","F-02-15-na-02","在宅医療に携わる多職種の構成、および多職種連携の目的や課題について説明できる。","在宅医療に携わる多職種の構成、および多職種連携の目的や課題について説明できる。","在宅医療における多職種連携の重要性を説明できる。","","多職種連携で既出","","連携の各論はそれぞれの項目と理解していたが、在宅医療についての多職種連携は触れなくてよいかどうか。","","","","","","","","","","","","","",""
"人生の視点とアプローチ","人生のプロセス","ライフサイクル（胎児期・新生児期・乳幼児期・学童期・思春期・青年期・成人期・壮年期・老年期・終末期）の視点で、患者の課題を検討できる。","Jkxpstw","C-05-05-na-02","ライフサイクル（胎児期・新生児期・乳幼児期・学童期・思春期・青年期・成人期・壮年期・老年期・終末期）の視点で、患者の課題を検討できる。","ライフサイクル(胎児期・新生児期・乳幼児期・学童期・思春期・青年期・成人期・壮年期・老年期・終末期)の視点で、患者の課題を検討できる。","ライフサイクルの各段階におけるこころの発達と発達課題をを概説できる。","ライフサイクル（胎児期・新生児期・乳幼児期・学童期・思春期・青年期・成人期・壮年期・老年期・終末期）の視点で、患者の課題を検討できる。","ママ",2.0,"","ライフサイクル（胎児期・新生児期・乳幼児期・学童期・思春期・青年期・成人期・壮年期・老年期・終末期）の視点で、患者の課題を検討できる。","修正,「ライフサイクル(胎児期・幼児期・小児期・思春期・青年期・老年期・終末期)」→「ライフサイクル(胎児期・新生児期・乳幼児期・学童期・思春期・青年期・老年期・終末期)」に修正ました。（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、以下の学修目標の動詞を修正しました。","","","","","","","","","",""
"人生の視点とアプローチ","人生のプロセス","ライフステージやライフイベントの視点で、健康管理と環境・生活習慣改善を検討できる。","Jkxpst0","B-01-05-na-06,B-01-06-na-04","ライフステージやライフイベントの視点で、健康管理と環境・生活習慣改善を検討できる。","ライフステージやライフイベントの視点で、健康管理と環境・生活習慣改善を検討できる。","ライフステージに応じた健康管理と環境・生活習慣改善（環境レベル、知識レベル、行動レベルと行動変容）を説明できる。,各ライフステージの健康問題（母子保健、学校保健、産業保健、成人・高齢者保健）を説明できる。","ライフステージやライフイベントの視点で、健康管理と環境・生活習慣改善を検討できる。","ママ",2.0,"","ライフステージやライフイベントの視点で、健康管理と環境・生活習慣改善を検討できる。","修正","","補足説明に（　）の中を移動したいと思います。","","","「ライフステージやライフイベントの視点で、個別の事例についての健康管理と環境・生活習慣改善を分析できる。」他の第４層の語彙も説明が必要なものはありますが、かっこで含めてしまうと長くなるので、語彙の説明はグローサリー等でまとめて行うとして、第４層からは省略してもよいのでは？","","","","","","",""
"人生の視点とアプローチ","人生のプロセス","家族ライフサイクル・家族成員間関係・家族システムの視点で、患者・家族間の問題（虐待・ネグレクト等）を指摘できる。","Jkxpst4","C-05-05-na-02","家族ライフサイクル・家族成員間関係・家族システムの視点で、患者・家族間の問題（虐待・ネグレクト等）を説明できる。","家族ライフサイクル・家族成員間関係・家族システムの視点で、患者・家族間の問題（虐待・ネグレクト等）を説明できる。","ライフサイクルの各段階におけるこころの発達と発達課題をを概説できる。","家族ライフサイクル・家族成員間関係・家族システムの視点で、患者・家族間の問題（虐待・ネグレクト等）を指摘できる。","指摘できる、に変更",2.0,"","家族ライフサイクル・家族成員間関係・家族システムの視点で、患者・家族間の問題（虐待・ネグレクト等）を指摘できる。","修正","","患者と家族との視点の両者を入れると、学習する際に混乱する可能性があることを考慮し、学修目標は分けました。","２行上と統合できますか？","","「家族ライフサイクル・家族成員間関係・家族システムの視点で、患者の課題や家族間の虐待・ネグレクト等を説明できる。」","","","４５，４６と統合","","","",""
"人生の視点とアプローチ","小児期全般","小児期の生理機能の発達について理解している。","Jkxpst8","E-07-02-na-01","小児期の生理機能の発達の知識を臨床現場で活用できる。","小児期の生理機能の発達の知識を臨床現場で活用できる。","乳幼児の生理機能の発達を説明できる。","小児期の生理機能の発達について理解している。","理解している、に変更",2.0,"","小児期の生理機能の発達について理解している。","修正,第3層の文言修正しました（遠藤）","※査読にあるように「個別の事例を分析できる」以降は削除して、…を説明できるに統一するという代案はあります。（春田）","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","小児期全般","小児期の正常な精神運動発達について理解している。","JkxpsuA","E-07-02-na-02, C-05-05-na-01, 
C-05-05-na-02, C-05-05-na-03, C-05-06-na-03","小児期の正常な精神運動発達の知識を臨床現場で活用できる。","小児期の正常な精神運動発達の知識を臨床現場で活用できる。","乳幼児の正常な精神運動発達を説明できる。,こころの発達の原理を概説できる。,ライフサイクルの各段階におけるこころの発達と発達課題をを概説できる。,こころの発達にかかわる遺伝的要因と環境的要因を概説できる。,知能の発達と経年変化を概説できる。","小児期の正常な精神運動発達について理解している。","理解している、に変更",2.0,"","小児期の正常な精神運動発達について理解している。","修正,第3層の文言修正しました（遠藤）※査読に対する回答として、この項目に　C-05-05-na-01　C-05-05-na-02
C-05-05-na-03 のidを付与しました。（遠藤）※同様に、C-05-06-na-03 のidも付与しました。（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","「分析できる」はわかりやすいです","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","小児期全般","小児期の愛着形成や保育法・栄養法について理解している。","JkxpsuE","E-07-02-na-03","小児期の愛着形成や保育法・栄養法の基本の知識を臨床現場で活用できる。","小児期の愛着形成や保育法・栄養法の基本の知識を臨床現場で活用できる。","乳幼児の保育法・栄養法の基本を概説できる。","小児期の愛着形成や保育法・栄養法について理解している。","理解している、に変更",2.0,"","小児期の愛着形成や保育法・栄養法について理解している。","修正,第3層の文言修正しました（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","小児期全般","小児期の栄養面での特性や食育について理解している。","JkxpsuI","E-07-03-na-02","小児期の栄養面での特性や食育の基本の知識を臨床現場で活用できる。","小児期の栄養面での特性や食育の基本の知識を臨床現場で活用できる。","小児の栄養上の問題点を列挙できる。","小児期の栄養面での特性や食育、輸液療法について理解している。","理解している、に変更、輸液療法を追加",1.0,"最終案希望『小児期の栄養面での特性や食育について理解している。』　※輸液療法は最終段階で知識チームと協議のうえ「知識」に「小児（＋別表）」を作成し、その内部の「小児に特異的な治療法について基本的事項について理解している。」に入れ込んだため　（遠藤）","小児期の栄養面での特性や食育の基本の知識を臨床現場で活用できる。","修正,第3層の文言修正しました（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","","【宮地】技能の「乳幼児と小児の輸液療法」をここで扱う？"
"人生の視点とアプローチ","小児期全般","小児期の免疫発達と感染症の関係について理解している。","JkxpsuM","E-07-03-na-03","小児期の免疫発達と感染症の関係の知識を臨床現場で活用できる。","小児期の免疫発達と感染症の関係の知識を臨床現場で活用できる。","小児免疫発達と感染症の関係を概説できる。","小児期の免疫発達と感染症の関係について理解している。","理解している、に変更",2.0,"","小児期の免疫発達と感染症の関係について理解している。","修正,第3層の文言修正しました（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","小児期全般","","JkxpsuQ","E-07-03-na-06","児童虐待・ネグレクトの知識を臨床現場で活用できる。","児童虐待・ネグレクトの知識を臨床現場で活用できる。","児童虐待を概説できる。","","55と重複。",2.0,"","","修正,第3層の文言修正しました（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","小児期全般","小児期から成人期への医療の移行について、現状と課題を理解している。","JkxpsuU","E-07-04-na-03","小児期から成人期への医療の移行について、現状と課題を説明できる。","小児期から成人期への医療の移行について、現状と課題を説明できる。","移行期医療の現状と課題を説明できる。","小児期から成人期への医療の移行について、現状と課題を理解している。","理解している、に変更",2.0,"","小児期から成人期への医療の移行について、現状と課題を理解している。","修正","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","","","","","","","",""
"人生の視点とアプローチ","胎児期・新生児期・乳幼児期","胎児の循環・呼吸の生理的特徴と出生時の変化について理解している。","JkxpsuY","E-07-01-na-01","胎児の循環・呼吸の生理的特徴と出生時の変化の知識を臨床現場で活用できる。","胎児の循環・呼吸の生理的特徴と出生時の変化の知識を臨床現場で活用できる。","胎児の循環・呼吸の生理的特徴と出生時の変化を説明できる。","胎児の循環・呼吸の生理的特徴と出生時の変化について理解している。","理解している、に変更",2.0,"","胎児の循環・呼吸の生理的特徴と出生時の変化について理解している。","修正,第3層の文言修正しました（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","知識141と重複。「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","胎児期・新生児期・乳幼児期","新生児・乳幼児の生理的特徴について理解している。","Jkxpsuc","E-07-01-na-03,E-07-02-na-01","新生児・乳幼児の生理的特徴の知識を臨床現場で活用できる。","新生児・乳幼児の生理的特徴の知識を臨床現場で活用できる。","新生児の生理的特徴を説明できる。,乳幼児の生理機能の発達を説明できる。","新生児・乳幼児の生理的特徴について理解している。","理解している、に変更",2.0,"","新生児・乳幼児の生理的特徴について理解している。","修正,第3層の文言修正しました（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","胎児期・新生児期・乳幼児期","","Jkxpsug","E-07-01-na-09","正常児・早産低出生体重児・病児の管理の基本の知識を臨床現場で活用できる。","正常児・早産低出生体重児・病児の管理の基本の知識を臨床現場で活用できる。","正常児・低出生体重児・病児の管理の基本を説明できる。","","理解している、に変更",1.0,"削除希望　知識チームと協議のうえ「知識」に「小児（＋別表）」を作成し、その中に早産低出生体重児などを入れ込んだため（遠藤）","正常児・早産低出生体重児・病児の管理の基本の知識を臨床現場で活用できる。","修正,第3層の文言修正しました（遠藤）","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","学童期・思春期・青年期・成人期","思春期発現の機序と性徴について理解している。","Jkxpsuk","E-07-04-na-01","思春期発現の機序と性徴の知識を臨床現場で活用できる。","思春期発現の機序と性徴の知識を臨床現場で活用できる。","思春期発現の機序と性徴を説明できる。","思春期発現の機序と性徴について理解している。","理解している、に変更",2.0,"","思春期発現の機序と性徴について理解している。","修正","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
"人生の視点とアプローチ","学童期・思春期・青年期・成人期","学童期・思春期と関連する課題（学業、友達等に関わる課題）について理解している。","Jkxpsuo","E-07-04-na-02","学童期・思春期と関連する課題（学業、友達等に関わる課題）の知識を臨床現場で活用できる。","学童期・思春期と関連する課題(学業、友達などに関わる課題)の知識を臨床現場で活用できる。","思春期と関連した精神保健上の問題を列挙できる。","学童期・思春期と関連する課題（学業、友達等に関わる課題）について理解している。","理解している、に変更",2.0,"","学童期・思春期と関連する課題（学業、友達等に関わる課題）について理解している。","修正","","査読者の「個別の事例を分析する」ことに関するコメントに際して、学修目標の動詞を修正しました。","","","「個別の事例を分析できる」がやや漠然としているので、「〜を活用して、個別の事例を評価し、問題点を挙げ、その対応を説明できる」","","","","","","",""
