"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","H28表記","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","全体編集コメント","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","Unnamed: 15","査読への返答","A","B","C","D","E","F","G","H","I"
"基礎医学","個体の反応","薬物の投与経路と、その吸収、分布、代謝、排泄機構について理解している。","JkxnuNI","C-03-03-02-01","薬物の投与経路と、その吸収、分布、代謝、排泄機構を説明できる。","薬物・毒物の吸収、分布、代謝と排泄を説明できる。","薬物の投与経路と、その吸収、分布、代謝、排泄機構を説明できる。","薬物の投与経路と、その吸収、分布、代謝、排泄機構について理解している。","","",2.0,"","薬物の投与経路と、その吸収、分布、代謝、排泄機構について理解している。","","","","","","","","","","","",""
"基礎医学","個体の反応","薬物の有害作用、薬物間相互作用について理解している。","JkxnuNM","","薬物の有害作用、薬物間相互作用を説明できる。","","薬物の有害作用、薬物間相互作用を説明できる。","薬物の有害作用、薬物間相互作用について理解している。","","【宮地】技能89と重複",2.0,"","薬物の有害作用、薬物間相互作用について理解している。","新設","","","","","","","","","","",""
"基礎医学","個体の反応","","JkxnuNQ","","分子標的薬、バイオ医薬を説明できる。","","分子標的薬、バイオ医薬を説明できる。","削除","技能99と重複","【宮地】分子標的薬が技能99と重複",2.0,"","削除","新設","","","","","","","","","","",""
"基礎医学","個体の反応","薬物開発のプロセスと、臨床試験における薬物の評価をについて理解している。","JkxnuNU","","薬物開発のプロセスと、臨床試験における薬物の評価をを説明できる。","","薬物開発のプロセスと、臨床試験における薬物の評価をを説明できる。","薬物開発のプロセスと、臨床試験における薬物の評価をについて理解している。","","",2.0,"","薬物開発のプロセスと、臨床試験における薬物の評価をについて理解している。","新設","","","","","","","","","","",""
"基礎医学","病因と病態","ゲノムの多様性に基づく個体の多様性について理解している。","JkxnuNY","C-04-01-na-01","ゲノムの多様性に基づく個体の多様性を説明できる。","ゲノムの多様性に基づく個体の多様性を説明できる。","ゲノムの多様性に基づく個体の多様性を説明できる。","ゲノムの多様性に基づく個体の多様性について理解している。","","",2.0,"","ゲノムの多様性に基づく個体の多様性について理解している。","","","","","","ここで学生に説明できることが求められる「個体の多様性」が具体的には93, 94, 95の各論の内容しかないなら、総論的な92は削除してもよいのでは？","","","","","",""
"基礎医学","病因と病態","単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め理解している。","JkxnuNc","C-04-01-na-02,C-04-01-na-03,C-04-01-na-04","単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め説明できる。","単一遺伝子疾患の遺伝様式を説明し、代表的な疾患を列挙できる。,染色体異常による疾患の中で主なものを挙げ、概説できる。,ミトコンドリア遺伝子の変異による疾患を挙げ、概説できる。","単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め説明できる。","単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め理解している。","","",2.0,"","単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","多因子疾患における遺伝要因と環境要因の関係について理解している。","JkxnuNg","C-04-01-na-05,C-04-01-na-06","多因子疾患における遺伝要因と環境要因の関係を説明できる。","エピゲノムの機序及び関連する疾患を概説できる。,多因子疾患における遺伝要因と環境要因の関係を概説できる。","多因子疾患における遺伝要因と環境要因の関係を説明できる。","多因子疾患における遺伝要因と環境要因の関係について理解している。","","",2.0,"","多因子疾患における遺伝要因と環境要因の関係について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","薬剤の有効性や安全性とゲノムの多様性との関係について理解している。","JkxnuNk","C-04-01-na-07","薬剤の有効性や安全性とゲノムの多様性との関係を説明できる。","薬剤の有効性や安全性とゲノムの多様性との関係を概説できる。","薬剤の有効性や安全性とゲノムの多様性との関係を説明できる。","薬剤の有効性や安全性とゲノムの多様性との関係について理解している。","","",2.0,"","薬剤の有効性や安全性とゲノムの多様性との関係について理解している。","修正済み・ワードファイルでは「説明できる」になっています。(KY)","","","","","","","","","","",""
"基礎医学","病因と病態","ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義について理解している。","JkxnuNo","C-04-02-na-01,C-04-02-na-03","ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義を説明できる。","細胞傷害・変性と細胞死の多様性、病因と意義を説明できる。,ネクローシスとアポトーシスの違いを説明できる。","ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義を説明できる。","ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義について理解している。","","",2.0,"","ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴について理解している。","JkxnuNs","C-04-02-na-02","細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴を説明できる。","細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴を説明できる。","細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴を説明できる。","細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴について理解している。","","",2.0,"","細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","糖代謝異常の病態について理解している。","JkxnuNw","C-04-03-na-01","糖代謝異常の病態を説明できる。","糖代謝異常の病態を説明できる。","糖代謝異常の病態を説明できる。","糖代謝異常の病態について理解している。","","",2.0,"","糖代謝異常の病態について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","タンパク質・アミノ酸代謝異常の病態について理解している。","JkxnuN0","C-04-03-na-02","タンパク質・アミノ酸代謝異常の病態を説明できる。","タンパク質・アミノ酸代謝異常の病態を説明できる。","タンパク質・アミノ酸代謝異常の病態を説明できる。","タンパク質・アミノ酸代謝異常の病態について理解している。","","",2.0,"","タンパク質・アミノ酸代謝異常の病態について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","脂質代謝異常の病態について理解している。","JkxnuN4","C-04-03-na-03","脂質代謝異常の病態を説明できる。","脂質代謝異常の病態を説明できる。","脂質代謝異常の病態を説明できる。","脂質代謝異常の病態について理解している。","","",2.0,"","脂質代謝異常の病態について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","核酸・ヌクレオチド代謝異常の病態について理解している。","JkxnuN8","C-04-03-na-04","核酸・ヌクレオチド代謝異常の病態を説明できる。","核酸・ヌクレオチド代謝異常の病態を説明できる。","核酸・ヌクレオチド代謝異常の病態を説明できる。","核酸・ヌクレオチド代謝異常の病態について理解している。","","",2.0,"","核酸・ヌクレオチド代謝異常の病態について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","ビタミン、微量元素の代謝異常の病態について理解している。","JkxnuOA","C-04-03-na-05","ビタミン、微量元素の代謝異常の病態を説明できる。","ビタミン、微量元素の代謝異常の病態を説明できる。","ビタミン、微量元素の代謝異常の病態を説明できる。","ビタミン、微量元素の代謝異常の病態について理解している。","","",2.0,"","ビタミン、微量元素の代謝異常の病態について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","メタボリックシンドロームの病態について理解している。","JkxnuOE","C-04-03-na-06","メタボリックシンドロームの病態を説明できる。","肥満に起因する代謝障害の病態を説明できる。","メタボリックシンドロームの病態を説明できる。","メタボリックシンドロームの病態について理解している。","","",2.0,"疾患については「全身に及ぶ生理的変化、病態、診断、治療」に移動した方がよいのではないでしょうか","メタボリックシンドロームの病態について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","血行障害（阻血、低酸素血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態について理解している。","JkxnuOI","C-04-04-na-01,C-04-04-na-02","血行障害（阻血、低酸素血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態を説明できる。","血行障害（阻血、虚血、充血、うっ血、出血）の違いとそれぞれの病因と病態を説明できる。,梗塞（血栓、塞栓）の種類と病態を説明できる。","血行障害（阻血、低酸素血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態を説明できる。","血行障害（阻血、低酸素血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態について理解している。","","",2.0,"","血行障害（阻血、低酸素血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態について理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","","JkxnuOM","C-04-04-na-03","","ショック（血流分布異常性ショック（アナフィラキシー、感染性（敗血症性）、神経原性）、循環血液量減少性ショック（出血性、体液喪失）、心原性ショック（心筋性、機械性、不整脈）、閉塞性ショック（心タンポナーデ、肺塞栓症、緊張性気胸））を説明できる。","ショック（アナフィラキシー、感染性（敗血症性）、神経原性、循環血液量減少性ショック（出血性、体液喪失）、心原性ショック（心筋性、機械性、不整脈）、閉塞性ショック（心タンポナーデ、肺塞栓症、緊張性気胸））を説明できる。","","","","","","","313に統合","","Fにまとめる？","","","312と重複","","","","","",""
"基礎医学","病因と病態","血圧異常（高血圧、低血圧）について理解している。","JkxnuOQ","C-04-04-na-04","血圧異常（高血圧、低血圧）を説明できる。","血圧異常（高血圧、低血圧）を説明できる。","血圧異常（高血圧、低血圧）を説明できる。","血圧異常（高血圧、低血圧）について理解している。","","",2.0,"","血圧異常（高血圧、低血圧）について理解している。","","","","","","血圧異常の何を説明できることを求めるのか？高血圧（高血圧緊急症を含む）、低血圧の病態や治療については145で扱われているので、削除か、あえてこれを残すなら「血圧維持の機構を説明できる」とするか。","","問が漠然としているので削除","","","",""
"基礎医学","病因と病態","臓器不全（多臓器不全、サイトカインストーム、播種性血管内凝固症候群）について理解している。","JkxnuOU","C-04-04-na-05","臓器不全（多臓器不全、サイトカインストーム、播種性血管内凝固症候群）を説明できる。","臓器不全（多臓器不全、多臓器障害(multiple organ dysfunction syndrome <MODS>)）を説明できる。","臓器不全（多臓器不全、サイトカインストーム、播種性血管内凝固症候群）を説明できる。","臓器不全（多臓器不全、サイトカインストーム、播種性血管内凝固症候群）について理解している。","","",2.0,"疾患については「全身に及ぶ生理的変化、病態、診断、治療」に移動した方がよいのではないでしょうか","臓器不全（多臓器不全、サイトカインストーム、播種性血管内凝固症候群）について理解している。","","","","","","","播種性血管内凝固症候群は播種性血管内凝固〈DIC〉で統一する","","","","",""
"基礎医学","病因と病態","炎症の定義について理解している。","JkxnuOY","C-04-05-na-01","炎症の定義を説明できる。","炎症の定義を説明できる。","炎症の定義を説明できる。","炎症の定義について理解している。","","",2.0,"","炎症の定義について理解している。","","","","","","109とまとめて、「炎症の定義と分類、〜」にしては？","","単独項目としては不要","","","108と109はまとめてはいかがでしょうか",""
"基礎医学","病因と病態","炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）について理解している。","JkxnuOc","C-04-05-na-02","炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）を説明できる。","炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）を説明できる。","炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）を説明できる。","炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）について理解している。","","",2.0,"","炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）について理解している。","","","","","","108にまとめる？","","","","","",""
"基礎医学","病因と病態","炎症組織の治癒過程について理解している。","JkxnuOg","C-04-05-na-04","炎症組織の治癒過程を説明できる。","創傷の治癒過程を概説できる。","炎症組織の治癒過程を説明できる。","炎症組織の治癒過程について理解している。","","",2.0,"","炎症組織の治癒過程について理解している。","修正済み・ワードファイルでは「説明できる」になっています。(KY)","","","","","","","","","","",""
"基礎医学","病因と病態","炎症とメタボリックシンドローム、動脈硬化、腫瘍、老化への関わりについて理解している。","JkxnuOk","","炎症とメタボリックシンドローム、動脈硬化、腫瘍、老化への関わりについて説明できる。","","炎症とメタボリックシンドローム、動脈硬化、腫瘍、老化への関わりについて説明できる。","炎症とメタボリックシンドローム、動脈硬化、腫瘍、老化への関わりについて理解している。","","",2.0,"コアとして追加すべきか検討願います","炎症とメタボリックシンドローム、動脈硬化、腫瘍、老化への関わりについて理解している。","新設、コアとして追加すべきか疑問","","コアとして追加すべきか疑問","","","","","","","","",""
"基礎医学","病因と病態","","JkxnuOo","C-04-05-na-03","感染症による炎症性変化を説明できる。","感染症による炎症性変化を説明できる。","感染症による炎症性変化を説明できる。","削除","査読者E, Hの意見","【宮地】査読者Eの意見は？",2.0,"","削除","","","","","","","","109に統合。感染症だけ取り上げる必要性が不明","","","感染症だけ取り上げることに違和感ががります",""
"基礎医学","病因と病態","自律性の増殖と、良性腫瘍と悪性腫瘍の違いについて理解している。","JkxnuOs","C-04-06-na-01","自律性の増殖と、良性腫瘍と悪性腫瘍の違いを説明できる。","自律性の増殖と、良性腫瘍と悪性腫瘍の違いを説明できる。","自律性の増殖と、良性腫瘍と悪性腫瘍の違いを説明できる。","自律性の増殖と、良性腫瘍と悪性腫瘍の違いについて理解している。","","",2.0,"","自律性の増殖と、良性腫瘍と悪性腫瘍の違いについて理解している。","","","","","","","","","","","",""
"基礎医学","病因と病態","癌の原因や遺伝子変化について理解している。","JkxnuOw","C-04-06-na-02","癌の原因や遺伝子変化を説明できる。","癌の原因や遺伝子変化を説明できる。","癌の原因や遺伝子変化を説明できる。","癌の原因や遺伝子変化について理解している。","","",2.0,"","癌の原因や遺伝子変化について理解している。","","","","","","","癌とがんの使い分け：個別のものは胃癌と記載、総論的に使用する場合は。がん検診などはかな表記する","","","","上皮性の物が癌、それ以外の悪性腫瘍もふくめるとがん、だと思っていました",""
"基礎医学","病因と病態","腫瘍の分類、分化度、グレード、ステージについて理解している。","JkxnuO0","C-04-06-na-03","腫瘍の分類、分化度、グレード、ステージを説明できる。","腫瘍の分類、分化度、グレード、ステージを概説できる。","腫瘍の分類、分化度、グレード、ステージを説明できる。","腫瘍の分類、分化度、グレード、ステージについて理解している。","","",2.0,"","腫瘍の分類、分化度、グレード、ステージについて理解している。","修正済み・ワードファイルでは「説明できる」になっています。(KY)","","知識レベルを深化","","","","","","","","252と重なります",""
"基礎医学","病因と病態","用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）について理解している。","JkxnuO4","C-04-06-na-04","用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）を説明できる。","用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）を説明できる。","用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）を説明できる。","用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）について理解している。","","",2.0,"","用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）について理解している。","「個別の癌は漢字で、それ以外はかなで記載。例）大腸癌、がん検診」とご意見を頂いております。（鋪野）","","癌とがんの区別","","","","","","","","癌の種類によって異なる気がしますが総論的に教える必要があるでしょうか",""
"基礎医学","病因と病態","癌の病理診断と治療の関わりについて理解している。","JkxnuO8","C-04-06-na-05","癌の病理診断と治療の関わりを説明できる。","癌の診断と治療を概説できる。","癌の病理診断と治療の関わりを説明できる。","癌の病理診断と治療の関わりについて理解している。","","",2.0,"","癌の病理診断と治療の関わりについて理解している。","修正済み・ワードファイルでは「説明できる」になっています。(KY)","","知識レベルを深化","","","","","","","","251と重なる気がします",""
"基礎医学","病因と病態","癌の転移について理解している。","JkxnuPA","C-04-06-na-06","癌の転移を説明できる。","癌の転移を説明できる。","癌の転移を説明できる。","癌の転移について理解している。","","",2.0,"","癌の転移について理解している。","","","","","","転移の何を説明できることが必要なのか？「癌の転移の機構を説明できる」","","","","","",""
"基礎医学","病因と病態","癌の免疫系による排除機構について理解している。","JkxnuPE","","癌の免疫系による排除機構を説明できる。","","癌の免疫系による排除機構を説明できる。","癌の免疫系による排除機構について理解している。","","",2.0,"","癌の免疫系による排除機構について理解している。","新設・癌免疫、ゲノム診断は入れるべきと思います。(Michiyuki)","","","","","","","","","","",""
"基礎医学","病因と病態","","JkxnuPI","","","","削除：癌のゲノム診断を説明できる。","","","","","","","新設、E（249）に統合","","臨床的にはE（249）に記載あり","","","","","","","","249と重ならないでしょうか",""
"人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","血液・造血器・リンパ系の構造と機能について基本的事項について理解している。","JkxnuPM","D-01-01-na-01,D-01-01-na-02,D-01-01-na-03,D-01-01-na-04,D-01-01-na-05,D-01-01-na-06,D-01-01-na-07,D-01-01-na-08","血液・造血器・リンパ系の構造と機能について基本的事項を説明できる。","骨髄の構造を説明できる。,造血幹細胞から各血球への分化と成熟の過程を説明できる。,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子(granulocyte-colony stimulating factor <G-CSF>)、トロンボポエチン）を説明できる。,脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能を説明できる。,血漿タンパク質の種類と機能を説明できる。,赤血球とヘモグロビンの構造と機能を説明できる。,白血球の種類と機能を説明できる。,血小板の機能と止血や凝固・線溶の機序を説明できる。","血液・造血器・リンパ系の構造と機能について基本的事項を説明できる。","血液・造血器・リンパ系の構造と機能について基本的事項について理解している。","","",2.0,"","血液・造血器・リンパ系の構造と機能について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","血液・造血器・リンパ系でみられる症候について理解している。","JkxnuPQ","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06, ,D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06, ,D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06, ,D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06, ,D-01-03-na-04, D-01-03-na-05,,D-01-03-na-04, D-01-03-na-05,,D-01-03-na-04, D-01-03-na-05,","血液・造血器・リンパ系でみられる症候について説明できる。","発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found:  },発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found:  },発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found:  },発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found:  },貧血,出血傾向,{not found: },貧血,出血傾向,{not found: },貧血,出血傾向,{not found: }","血液・造血器・リンパ系でみられる症候について説明できる。","血液・造血器・リンパ系でみられる症候について理解している。","","",2.0,"","血液・造血器・リンパ系でみられる症候について理解している。","","","","","","症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別診断の方法を説明できる」ということであれば、技能で扱われるものをのぞいた「貧血」「出血傾向」だけでよいのでは。","","「ついて」を削除","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","血液・造血器・リンパ系で行う検査方法について基本的事項について理解している。","JkxnuPU","D-01-02-na-01,なし,D-01-02-na-02,なし,D-01-02-na-02,なし","血液・造血器・リンパ系で行う検査方法について基本的事項を説明できる。","末梢血の血球数の基準値とその変化の意義を説明できる。,{not found: なし},骨髄検査（骨髄穿刺、骨髄生検）を説明できる。,{not found: なし},骨髄検査（骨髄穿刺、骨髄生検）を説明できる。,{not found: なし}","血液・造血器・リンパ系で行う検査方法について基本的事項を説明できる。","血液・造血器・リンパ系で行う検査方法について基本的事項について理解している。","","",2.0,"","血液・造血器・リンパ系で行う検査方法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","血液・造血器・リンパ系疾患に特異的な治療法について基本的事項について理解している。","JkxnuPY","なし,なし","血液・造血器・リンパ系疾患に特異的な治療法について基本的事項を説明できる。","{not found: なし},{not found: なし}","血液・造血器・リンパ系疾患に特異的な治療法について基本的事項を説明できる。","血液・造血器・リンパ系疾患に特異的な治療法について基本的事項について理解している。","","",2.0,"","血液・造血器・リンパ系疾患に特異的な治療法について基本的事項について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","血液・造血器・リンパ系","血液・造血器・リンパ系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","JkxnuPc","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05,D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07,なし,D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09,なし","血液・造血器・リンパ系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。,出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。,{not found: なし},急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。,{not found: なし}","血液・造血器・リンパ系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。","血液・造血器・リンパ系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","",2.0,"","血液・造血器・リンパ系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法について理解している。","","","","","","","","","","","",""
"人体各器官の正常構造と機能、病態、診断、治療","神経系","神経系の構造と機能について基本的事項について理解している。","JkxnuPk","D-02-01-01-01,D-02-01-01-02,D-02-01-01-03,D-02-01-01-04,D-02-01-01-05,D-02-01-02-01,D-02-01-02-02,D-02-01-02-03,D-02-01-03-01, D-02-01-03-03,D-02-01-03-02,D-02-01-04-01,D-02-01-04-02,D-02-01-04-03,D-02-01-05-01,D-02-01-05-02,D-02-01-05-03,D-02-01-06-01,D-02-01-06-02,D-02-01-07-01,D-02-01-07-02,D-02-01-07-03","神経系の構造と機能について基本的事項を説明できる。","中枢神経系と末梢神経系の構成を概説できる。,脳の血管支配と血液脳関門を説明できる。,脳のエネルギー代謝の特徴を説明できる。,主な脳内神経伝達物質（アセチルコリン、ドパミン、ノルアドレナリン）とその作用を説明できる。,髄膜・脳室系の構造と脳脊髄液の産生と循環を説明できる。,脊髄の構造、機能局在と伝導路を説明できる。,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配を説明できる。,脊髄神経と神経叢（頸神経叢、腕神経叢、腰神経叢、仙骨神経叢）の構成及び主な骨格筋支配と皮膚分布（デルマトーム）を概説できる。,脳幹の構造と伝導路を説明できる。,脳幹の機能を概説できる。,脳神経の名称、核の局在、走行・分布と機能を概説できる。,大脳の構造を説明できる。,大脳皮質の機能局在（運動野・感覚野・言語野）を説明できる。,記憶、学習の機序を辺縁系の構成と関連させて概説できる。,随意運動の発現機構を錐体路を中心として概説できる。,小脳の構造と機能を概説できる。,大脳基底核（線条体、淡蒼球、黒質）の線維結合と機能を概説できる。,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路を説明できる。,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路を概説できる。,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質を概説できる。,視床下部の構造と機能を内分泌及び自律機能と関連付けて概説できる。,ストレス反応と本能・情動行動の発現機序を概説できる。","神経系の構造と機能について基本的事項を説明できる。","神経系の構造と機能について基本的事項について理解している。","","",2.0,"","神経系の構造と機能について基本的事項について理解している。","","","","","","","","","","","",""
